???,? m
1,5 m
0,4 m
0,4 m
0,7 m
0,6 m
0,3 m
0,4 m
1,7 m
0,8 m
1,8 m
2,0 m
14,5 m
0,7 m
1,9 m
0,5 m
0,7 m
0,9 m
1,1 m
0,7 m
1,1 m
2,0 m
0,4 m
1,3 m
0,4 m
1,1 m
1,3 m
2,7 m
1,0 m
1,2 m
0,4 m
0,9 m
0,6 m
1,1 m
0,5 m
1,5 m
1,0 m
1,5 m
0,7 m
1,5 m
0,6 m
6,2 m
0,3 m
1,0 m
0,6 m
1,1 m
0,8 m
1,6 m
2,0 m
0,6 m
1,2 m
0,6 m
0,7 m
1,5 m
0,8 m
1,1 m
1,4 m
0,4 m
1,7 m
1,8 m
1,0 m
0,6 m
0,6 m
1,1 m
1,5 m
0,6 m
1,2 m
1,6 m
1,7 m
1,8 m
1,9 m
1,4 m
2,0 m
4,5 m
3,5 m
7,0 m
0,3 m
1,7 m
0,4 m
1,1 m
2,2 m
0,5 m
0,9 m
1,2 m
0,4 m
0,8 m
1,7 m
0,3 m
0,6 m
1,2 m
0,5 m
1,0 m
0,3 m
1,0 m
0,5 m
0,9 m
1,4 m
0,2 m
0,9 m
0,9 m
1,6 m
0,5 m
1,3 m
0,2 m
0,5 m
0,9 m
0,3 m
1,2 m
0,4 m
0,7 m
1,1 m
0,4 m
0,5 m
0,3 m
0,9 m
1,2 m
0,4 m
1,2 m
0,4 m
1,2 m
0,9 m
0,9 m
0,5 m
1,0 m
0,2 m
0,4 m
1,0 m
0,5 m
1,3 m
0,5 m
0,6 m
0,6 m
0,5 m
1,0 m
0,7 m
1,4 m
1,9 m
0,6 m
0,7 m
1,2 m
0,8 m
2,0 m
0,8 m
1,3 m
0,7 m
1,3 m
1,4 m
0,4 m
1,2 m
1,0 m
1,0 m
2,2 m
1,1 m
1,2 m
1,7 m
2,4 m
2,0 m
1,8 m
1,6 m
1,5 m
1,9 m
1,0 m
0,8 m
2,0 m
2,5 m
0,9 m
1,6 m
1,4 m
2,2 m
1,3 m
0,3 m
0,3 m
0,3 m
0,3 m
5,4 m
4,2 m
1,7 m
3,7 m
4,5 m
1,5 m
0,4 m
0,3 m
1,5 m
0,2 m
3,2 m
0,4 m
0,6 m
0,8 m
3,3 m
0,5 m
1,0 m
1,6 m
0,5 m
0,8 m
1,5 m
0,5 m
1,1 m
0,4 m
0,9 m
1,2 m
0,4 m
1,1 m
0,6 m
1,1 m
0,6 m
1,0 m
0,6 m
1,0 m
0,6 m
1,1 m
0,3 m
0,6 m
1,2 m
0,8 m
1,6 m
0,4 m
0,9 m
1,7 m
0,4 m
0,9 m
0,3 m
0,7 m
1,1 m
0,6 m
1,2 m
1,4 m
0,5 m
0,8 m
1,5 m
1,3 m
1,4 m
0,3 m
0,5 m
1,2 m
0,4 m
1,2 m
2,5 m
0,3 m
0,7 m
0,5 m
1,1 m
1,0 m
0,7 m
1,0 m
1,5 m
0,6 m
1,3 m
1,0 m
0,3 m
1,4 m
0,6 m
1,1 m
1,4 m
0,5 m
1,7 m
0,7 m
1,2 m
0,5 m
1,4 m
0,6 m
1,9 m
0,7 m
1,6 m
0,4 m
0,5 m
0,4 m
0,7 m
1,5 m
0,3 m
0,6 m
1,0 m
0,5 m
1,3 m
0,4 m
1,1 m
1,3 m
0,6 m
1,9 m
0,4 m
0,5 m
1,0 m
0,2 m
0,6 m
1,2 m
2,2 m
1,2 m
0,1 m
0,8 m
0,6 m
1,0 m
0,3 m
0,6 m
0,6 m
0,2 m
1,2 m
2,1 m
0,5 m
1,0 m
0,3 m
0,6 m
1,0 m
0,6 m
1,0 m
1,8 m
0,5 m
2,6 m
1,1 m
0,4 m
0,8 m
0,7 m
0,9 m
1,4 m
1,6 m
1,0 m
2,8 m
0,5 m
1,6 m
1,6 m
0,5 m
1,5 m
0,5 m
1,2 m
1,4 m
0,3 m
0,8 m
1,4 m
1,8 m
1,1 m
1,6 m
2,1 m
1,9 m
2,0 m
1,5 m
1,5 m
3,2 m
2,9 m
1,5 m
3,0 m
1,4 m
0,6 m
1,5 m
0,4 m
0,7 m
1,6 m
0,4 m
1,0 m
1,5 m
0,3 m
0,6 m
1,5 m
0,4 m
1,0 m
0,3 m
0,7 m
1,2 m
0,3 m
0,3 m
1,2 m
0,6 m
1,5 m
0,1 m
0,2 m
1,1 m
0,9 m
1,7 m
0,6 m
2,1 m
1,2 m
0,3 m
0,6 m
0,8 m
0,8 m
1,7 m
0,2 m
0,8 m
0,4 m
0,8 m
0,4 m
1,5 m
0,5 m
1,3 m
0,5 m
1,8 m
0,5 m
1,3 m
0,5 m
1,0 m
0,8 m
2,5 m
1,3 m
2,7 m
1,0 m
0,8 m
0,2 m
0,3 m
0,3 m
0,8 m
2,0 m
0,2 m
0,4 m
1,5 m
0,4 m
0,9 m
1,0 m
2,0 m
0,5 m
1,5 m
3,0 m
5,8 m
5,0 m
0,7 m
0,5 m
1,7 m
0,3 m
0,7 m
1,6 m
0,4 m
0,7 m
1,8 m
0,4 m
0,6 m
1,8 m
0,3 m
0,6 m
1,1 m
0,4 m
0,7 m
0,4 m
0,5 m
1,5 m
0,6 m
1,7 m
0,6 m
0,1 m
0,2 m
0,5 m
0,8 m
0,2 m
0,4 m
0,7 m
1,0 m
2,5 m
0,3 m
1,8 m
0,3 m
0,9 m
0,2 m
1,0 m
0,6 m
1,2 m
0,5 m
2,1 m
0,3 m
0,7 m
1,2 m
0,1 m
1,5 m
2,0 m
0,5 m
2,0 m
0,5 m
1,3 m
0,3 m
1,9 m
2,3 m
0,3 m
0,4 m
2,0 m
0,3 m
0,2 m
0,9 m
3,0 m
3,9 m
0,6 m
1,2 m
1,6 m
1,8 m
1,2 m
1,9 m
1,3 m
0,2 m
0,1 m
3,4 m
4,0 m
1,2 m
2,4 m
1,8 m
3,8 m
9,2 m
0,3 m
5,5 m
2,4 m
1,0 m
0,7 m
0,6 m
3,6 m
5,5 m
1,8 m
1,5 m
0,2 m
2,5 m
0,3 m
0,7 m
2,1 m
0,3 m
0,6 m
1,4 m
0,3 m
0,7 m
1,9 m
0,3 m
0,6 m
0,2 m
0,8 m
2,2 m
0,4 m
0,4 m
0,4 m
0,6 m
1,2 m
0,4 m
0,5 m
0,6 m
1,3 m
0,3 m
1,0 m
0,3 m
1,0 m
0,3 m
1,1 m
2,8 m
0,2 m
0,3 m
0,4 m
2,2 m
3,8 m
0,8 m
0,5 m
1,3 m
0,4 m
1,6 m
0,7 m
3,0 m
0,6 m
1,6 m
0,1 m
0,2 m
0,4 m
0,6 m
2,1 m
0,4 m
0,8 m
1,5 m
1,6 m
0,8 m
1,0 m
0,8 m
1,5 m
1,6 m
0,2 m
0,3 m
3,0 m
0,3 m
0,3 m
1,3 m
2,5 m
1,4 m
0,9 m
0,3 m
1,2 m
3,0 m
1,8 m
2,3 m
2,3 m
2,0 m
1,8 m
0,5 m
1,4 m
3,0 m
2,8 m
2,9 m
20,0 m
2,4 m
1,7 m
1,7 m
28 m ou plus
1,6 m
17 m ou plus
1,4 m
2,2 m
0,3 m
0,7 m
0,7 m
0,4 m
0,4 m
0,4 m
0,4 m
0,4 m
0,4 m
0,4 m

21 m ou plus
0,7 m
0,7 m
1,2 m
0,6 m
1,1 m
0,2 m
0,7 m
0,4 m
0,4 m
33 m ou plus
1,1 m
1,2 m
25 m ou plus
0,4 m
1,0 m
1,7 m
0,8 m
1,7 m
2,0 m
0,8 m
0,7 m
1,0 m
1,4 m
20 m ou plus
19 m ou plus
10,9 m
1,0 m
1,0 m
3,0 m
2,2 m
1,4 m
1,7 m
6,5 m
24 m ou plus

18 m ou plus
2,1 m
35 m ou plus
2,3 m
1,5 m
1,4 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
0,5 m
10,5 m
2,0 m
1,7 m
0,6 m
1,9 m
2,5 m
1,9 m
1,9 m
1,9 m
0,4 m
0,5 m
1,6 m
0,5 m
1,0 m
2,2 m
1,3 m
1,8 m
2,5 m
2,5 m
1,5 m
0,3 m
0,3 m
0,3 m
1,2 m
1,2 m
2,1 m
1,8 m
2,5 m
1,8 m
2,3 m
9,8 m
5,0 m
10,8 m
1,7 m
1,7 m
1,7 m
0,2 m
0,2 m
0,5 m
0,5 m


0,5 m
0,3 m
0,9 m
1,3 m
1,9 m
1,3 m
2,7 m
1,6 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
6,9 m
0,4 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
3,2 m
1,2 m
1,5 m
1,0 m
0,7 m
1,3 m
1,7 m
1,7 m
0,5 m
21 m ou plus
0,6 m
0,6 m
0,6 m
1,9 m
1,9 m
1,9 m
1,2 m
2,2 m
0,7 m
1,4 m
3,0 m
1,3 m
3,6 m
3,3 m
1,4 m
0,6 m
1,5 m
1,5 m
1,5 m
1,5 m
1,5 m
1,5 m






































1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
0,1 m
0,1 m
0,1 m
0,1 m
0,2 m
0,2 m
0,2 m
0,2 m
0,2 m
1,1 m
1,1 m
1,1 m
1,1 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
1,2 m
0,6 m
1,7 m
0,3 m
0,5 m
0,8 m
0,7 m
1,1 m
1,7 m
3,0 m
1,2 m
1,2 m
5,0 m
4,5 m
1,1 m
6,5 m
0,7 m
1,5 m
0,6 m
0,6 m
0,6 m


1,1 m
0,8 m
8,2 m

0,9 m
1,2 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
2,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m

0,2 m
0,2 m
0,2 m
1,6 m
3,8 m
4,2 m
7,5 m
1,0 m
25 m ou plus
14 m ou plus
14 m ou plus
24 m ou plus
42 m ou plus
24 m ou plus
24 m ou plus
22 m ou plus
0,8 m
0,8 m
1,6 m
24 m ou plus
75 m ou plus
0,1 m
0,2 m
26 m ou plus
32 m ou plus
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
0,3 m
30 m ou plus
1,4 m
0,9 m
0,3 m
23 m ou plus
43 m ou plus
2,8 m
2,9 m
100,0 m
100,0 m
