ZKN_TYPE_000=Pokémon ?????
ZKN_TYPE_051=Pokémon Taupe
ZKN_TYPE_052=Pokémon Chadégout
ZKN_TYPE_053=Pokémon Chadeville
ZKN_TYPE_054=Pokémon Canard
ZKN_TYPE_055=Pokémon Canard
ZKN_TYPE_056=Pokémon Porsinge
ZKN_TYPE_057=Pokémon Porsinge
ZKN_TYPE_058=Pokémon Chiot
ZKN_TYPE_059=Pokémon Légendaire
ZKN_TYPE_060=Pokémon Têtard
ZKN_TYPE_061=Pokémon Têtard
ZKN_TYPE_062=Pokémon Têtard
ZKN_TYPE_063=Pokémon Psy
ZKN_TYPE_064=Pokémon Psy
ZKN_TYPE_065=Pokémon Psy
ZKN_TYPE_066=Pokémon Colosse
ZKN_TYPE_067=Pokémon Colosse
ZKN_TYPE_068=Pokémon Colosse
ZKN_TYPE_069=Pokémon Fleur
ZKN_TYPE_070=Pokémon Carnivore
ZKN_TYPE_071=Pokémon Carnivore
ZKN_TYPE_072=Pokémon Mollusque
ZKN_TYPE_073=Pokémon Mollusque
ZKN_TYPE_074=Pokémon Roche
ZKN_TYPE_075=Pokémon Roche
ZKN_TYPE_076=Pokémon Titanesque
ZKN_TYPE_077=Pokémon Cheval Feu
ZKN_TYPE_078=Pokémon Cheval Feu
ZKN_TYPE_079=Pokémon Crétin
ZKN_TYPE_080=Pokémon Symbiose
ZKN_TYPE_081=Pokémon Magnétique
ZKN_TYPE_082=Pokémon Magnétique
ZKN_TYPE_083=Pokémon Canard Fou
ZKN_TYPE_084=Pokémon Duoiseau
ZKN_TYPE_085=Pokémon Trioiseau
ZKN_TYPE_086=Pokémon Otarie
ZKN_TYPE_087=Pokémon Otarie
ZKN_TYPE_088=Pokémon Dégueu
ZKN_TYPE_089=Pokémon Dégueu
ZKN_TYPE_090=Pokémon Bivalve
ZKN_TYPE_091=Pokémon Bivalve
ZKN_TYPE_092=Pokémon Gaz
ZKN_TYPE_093=Pokémon Gaz
ZKN_TYPE_094=Pokémon Ombre
ZKN_TYPE_095=Pokémon Serpenroc
ZKN_TYPE_096=Pokémon Hypnose
ZKN_TYPE_097=Pokémon Hypnose
ZKN_TYPE_098=Pokémon Doux Crabe
ZKN_TYPE_099=Pokémon Pince
ZKN_TYPE_100=Pokémon Balle
ZKN_TYPE_101=Pokémon Balle
ZKN_TYPE_102=Pokémon Œuf
ZKN_TYPE_103=Pokémon Fruitpalme
ZKN_TYPE_104=Pokémon Solitaire
ZKN_TYPE_105=Pokémon Gard’Os
ZKN_TYPE_106=Pokémon Latteur
ZKN_TYPE_107=Pokémon Puncheur
ZKN_TYPE_108=Pokémon Lécheur
ZKN_TYPE_109=Pokémon Gaz Mortel
ZKN_TYPE_110=Pokémon Gaz Mortel
ZKN_TYPE_111=Pokémon Piquant
ZKN_TYPE_112=Pokémon Perceur
ZKN_TYPE_113=Pokémon Œuf
ZKN_TYPE_114=Pokémon Vigne
ZKN_TYPE_115=Pokémon Maternel
ZKN_TYPE_116=Pokémon Dragon
ZKN_TYPE_117=Pokémon Dragon
ZKN_TYPE_118=Pokémon Poisson
ZKN_TYPE_119=Pokémon Poisson
ZKN_TYPE_120=Pokémon Étoile
ZKN_TYPE_121=Pokémon Mystérieux
ZKN_TYPE_122=Pokémon Bloqueur
ZKN_TYPE_123=Pokémon Mante
ZKN_TYPE_124=Pokémon Humanoïde
ZKN_TYPE_125=Pokémon Électrique
ZKN_TYPE_126=Pokémon Crache-Feu
ZKN_TYPE_127=Pokémon Scarabée
ZKN_TYPE_128=Pokémon Buffle
ZKN_TYPE_129=Pokémon Poisson
ZKN_TYPE_130=Pokémon Terrifiant
ZKN_TYPE_131=Pokémon Transport
ZKN_TYPE_132=Pokémon Morphing
ZKN_TYPE_133=Pokémon Évolutif
ZKN_TYPE_134=Pokémon Bulleur
ZKN_TYPE_135=Pokémon Orage
ZKN_TYPE_136=Pokémon Flamme
ZKN_TYPE_137=Pokémon Virtuel
ZKN_TYPE_138=Pokémon Spirale
ZKN_TYPE_139=Pokémon Spirale
ZKN_TYPE_140=Pokémon Carapace
ZKN_TYPE_141=Pokémon Carapace
ZKN_TYPE_142=Pokémon Fossile
ZKN_TYPE_143=Pokémon Pionceur
ZKN_TYPE_144=Pokémon Glaciaire
ZKN_TYPE_145=Pokémon Électrique
ZKN_TYPE_146=Pokémon Flamme
ZKN_TYPE_147=Pokémon Dragon
ZKN_TYPE_148=Pokémon Dragon
ZKN_TYPE_149=Pokémon Dragon
ZKN_TYPE_150=Pokémon Génétique
ZKN_TYPE_151=Pokémon Nouveau
ZKN_TYPE_152=Pokémon Feuille
ZKN_TYPE_153=Pokémon Feuille
ZKN_TYPE_154=Pokémon Herbe
ZKN_TYPE_155=Pokémon Souris Feu
ZKN_TYPE_156=Pokémon Volcan
ZKN_TYPE_157=Pokémon Volcan
ZKN_TYPE_158=Pokémon Mâchoire
ZKN_TYPE_159=Pokémon Mâchoire
ZKN_TYPE_160=Pokémon Mâchoire
ZKN_TYPE_161=Pokémon Espion
ZKN_TYPE_162=Pokémon Allongé
ZKN_TYPE_163=Pokémon Hibou
ZKN_TYPE_164=Pokémon Hibou
ZKN_TYPE_165=Pokémon 5 Étoiles
ZKN_TYPE_166=Pokémon 5 Étoiles
ZKN_TYPE_167=Pokémon Crache Fil
ZKN_TYPE_168=Pokémon Long-Patte
ZKN_TYPE_169=Pokémon Chovsouris
ZKN_TYPE_170=Pokémon Poisson
ZKN_TYPE_171=Pokémon Lumière
ZKN_TYPE_172=Pokémon Minisouris
ZKN_TYPE_173=Pokémon Étoile
ZKN_TYPE_174=Pokémon Bouboule
ZKN_TYPE_175=Pokémon Balle Pic
ZKN_TYPE_176=Pokémon Bonheur
ZKN_TYPE_177=Pokémon Minoiseau
ZKN_TYPE_178=Pokémon Mystique
ZKN_TYPE_179=Pokémon Laine
ZKN_TYPE_180=Pokémon Laine
ZKN_TYPE_181=Pokémon Lumière
ZKN_TYPE_182=Pokémon Fleur
ZKN_TYPE_183=Pokémon Aquasouris
ZKN_TYPE_184=Pokémon Aqualapin
ZKN_TYPE_185=Pokémon Imitation
ZKN_TYPE_186=Pokémon Grenouille
ZKN_TYPE_187=Pokémon Pissenlit
ZKN_TYPE_188=Pokémon Pissenlit
ZKN_TYPE_189=Pokémon Pissenlit
ZKN_TYPE_190=Pokémon Longqueue
ZKN_TYPE_191=Pokémon Graine
ZKN_TYPE_192=Pokémon Soleil
ZKN_TYPE_193=Pokémon Translaile
ZKN_TYPE_194=Pokémon Poisson
ZKN_TYPE_195=Pokémon Poisson
ZKN_TYPE_196=Pokémon Soleil
ZKN_TYPE_197=Pokémon Lune
ZKN_TYPE_198=Pokémon Obscurité
ZKN_TYPE_199=Pokémon Royal
ZKN_TYPE_200=Pokémon Strident
ZKN_TYPE_201=Pokémon Symbolique
ZKN_TYPE_202=Pokémon Patient
ZKN_TYPE_203=Pokémon Long-Cou
ZKN_TYPE_204=Pokémon Ver Caché
ZKN_TYPE_205=Pokémon Ver Caché
ZKN_TYPE_206=Pokémon Serpent
ZKN_TYPE_207=Pokémon Scorpivol
ZKN_TYPE_208=Pokémon Serpenfer
ZKN_TYPE_209=Pokémon Fée
ZKN_TYPE_210=Pokémon Fée
ZKN_TYPE_211=Pokémon Bouboule
ZKN_TYPE_212=Pokémon Pince
ZKN_TYPE_213=Pokémon Pourri
ZKN_TYPE_214=Pokémon Unicorne
ZKN_TYPE_215=Pokémon Grifacérée
ZKN_TYPE_216=Pokémon Mini Ours
ZKN_TYPE_217=Pokémon Hibernant
ZKN_TYPE_218=Pokémon Lave
ZKN_TYPE_219=Pokémon Lave
ZKN_TYPE_220=Pokémon Cochon
ZKN_TYPE_221=Pokémon Porc
ZKN_TYPE_222=Pokémon Corail
ZKN_TYPE_223=Pokémon Jet
ZKN_TYPE_224=Pokémon Jet
ZKN_TYPE_225=Pokémon Livraison
ZKN_TYPE_226=Pokémon Cervolant
ZKN_TYPE_227=Pokémon Armoiseau
ZKN_TYPE_228=Pokémon Sombre
ZKN_TYPE_229=Pokémon Sombre
ZKN_TYPE_230=Pokémon Dragon
ZKN_TYPE_231=Pokémon Long-Nez
ZKN_TYPE_232=Pokémon Armure
ZKN_TYPE_233=Pokémon Virtuel
ZKN_TYPE_234=Pokémon Maxi Corne
ZKN_TYPE_235=Pokémon Peintre
ZKN_TYPE_236=Pokémon Bagarreur
ZKN_TYPE_237=Pokémon Poirier
ZKN_TYPE_238=Pokémon Bisou
ZKN_TYPE_239=Pokémon Électrique
ZKN_TYPE_240=Pokémon Charbon
ZKN_TYPE_241=Pokémon Vachalait
ZKN_TYPE_242=Pokémon Bonheur
ZKN_TYPE_243=Pokémon Foudre
ZKN_TYPE_244=Pokémon Volcan
ZKN_TYPE_245=Pokémon Aurore
ZKN_TYPE_246=Pokémon Peaupierre
ZKN_TYPE_247=Pokémon Carapadure
ZKN_TYPE_248=Pokémon Armure
ZKN_TYPE_249=Pokémon Plongeon
ZKN_TYPE_250=Pokémon Arcenciel
ZKN_TYPE_251=Pokémon Temporel
ZKN_TYPE_252=Pokémon Bois Gecko
ZKN_TYPE_253=Pokémon Bois Gecko
ZKN_TYPE_254=Pokémon Forêt
ZKN_TYPE_255=Pokémon Poussin
ZKN_TYPE_256=Pokémon Poulet
ZKN_TYPE_257=Pokémon Ardent
ZKN_TYPE_258=Pokémon Poissonboue
ZKN_TYPE_259=Pokémon Poissonboue
ZKN_TYPE_260=Pokémon Poissonboue
ZKN_TYPE_261=Pokémon Morsure
ZKN_TYPE_262=Pokémon Morsure
ZKN_TYPE_263=Pokémon Petit Raton
ZKN_TYPE_264=Pokémon Fonceur
ZKN_TYPE_265=Pokémon Ver
ZKN_TYPE_266=Pokémon Cocon
ZKN_TYPE_267=Pokémon Papillon
ZKN_TYPE_268=Pokémon Cocon
ZKN_TYPE_269=Pokémon Papipoison
ZKN_TYPE_270=Pokémon Aquaplante
ZKN_TYPE_271=Pokémon Jovial
ZKN_TYPE_272=Pokémon Insouciant
ZKN_TYPE_273=Pokémon Gland
ZKN_TYPE_274=Pokémon Malin
ZKN_TYPE_275=Pokémon Malveillant
ZKN_TYPE_276=Pokémon Minirondel
ZKN_TYPE_277=Pokémon Hirondelle
ZKN_TYPE_278=Pokémon Mouette
ZKN_TYPE_279=Pokémon Oiseaudo
ZKN_TYPE_280=Pokémon Sentiment
ZKN_TYPE_281=Pokémon Émotion
ZKN_TYPE_282=Pokémon Étreinte
ZKN_TYPE_283=Pokémon Maresurfeur
ZKN_TYPE_284=Pokémon Boule Œil
ZKN_TYPE_285=Pokémon Champignon
ZKN_TYPE_286=Pokémon Champignon
ZKN_TYPE_287=Pokémon Flâneur
ZKN_TYPE_288=Pokémon Turbusinge
ZKN_TYPE_289=Pokémon Fainéant
ZKN_TYPE_290=Pokémon Apprenti
ZKN_TYPE_291=Pokémon Ninja
ZKN_TYPE_292=Pokémon Exuvie
ZKN_TYPE_293=Pokémon Chuchoteur
ZKN_TYPE_294=Pokémon Grosse Voix
ZKN_TYPE_295=Pokémon Bruit Sourd
ZKN_TYPE_296=Pokémon Tenace
ZKN_TYPE_297=Pokémon Cogneur
ZKN_TYPE_298=Pokémon Point Polka
ZKN_TYPE_299=Pokémon Boussole
ZKN_TYPE_300=Pokémon Chaton
ZKN_TYPE_301=Pokémon Guindé
ZKN_TYPE_302=Pokémon Obscurité
ZKN_TYPE_303=Pokémon Trompeur
ZKN_TYPE_304=Pokémon Armurfer
ZKN_TYPE_305=Pokémon Armurfer
ZKN_TYPE_306=Pokémon Armurfer
ZKN_TYPE_307=Pokémon Méditation
ZKN_TYPE_308=Pokémon Méditation
ZKN_TYPE_309=Pokémon Orage
ZKN_TYPE_310=Pokémon Décharge
ZKN_TYPE_311=Pokémon Acclameur
ZKN_TYPE_312=Pokémon Acclameur
ZKN_TYPE_313=Pokémon Luciole
ZKN_TYPE_314=Pokémon Luciole
ZKN_TYPE_315=Pokémon Épine
ZKN_TYPE_316=Pokémon Estomac
ZKN_TYPE_317=Pokémon Sac Poison
ZKN_TYPE_318=Pokémon Féroce
ZKN_TYPE_319=Pokémon Brutal
ZKN_TYPE_320=Pokémon Baleinboule
ZKN_TYPE_321=Pokémon Cachabouée
ZKN_TYPE_322=Pokémon Engourdi
ZKN_TYPE_323=Pokémon Éruption
ZKN_TYPE_324=Pokémon Charbon
ZKN_TYPE_325=Pokémon Rebond
ZKN_TYPE_326=Pokémon Magouilleur
ZKN_TYPE_327=Pokémon Panda Tache
ZKN_TYPE_328=Pokémon Piégeur
ZKN_TYPE_329=Pokémon Vibration
ZKN_TYPE_330=Pokémon Mystique
ZKN_TYPE_331=Pokémon Cactus
ZKN_TYPE_332=Pokémon Épouvantail
ZKN_TYPE_333=Pokémon Oiseaucoton
ZKN_TYPE_334=Pokémon Virevolteur
ZKN_TYPE_335=Pokémon Chat Furet
ZKN_TYPE_336=Pokémon Serpacroc
ZKN_TYPE_337=Pokémon Météorite
ZKN_TYPE_338=Pokémon Météorite
ZKN_TYPE_339=Pokémon Barbillon
ZKN_TYPE_340=Pokémon Barbillon
ZKN_TYPE_341=Pokémon Brute
ZKN_TYPE_342=Pokémon Crapule
ZKN_TYPE_343=Pokémon Poupargile
ZKN_TYPE_344=Pokémon Poupargile
ZKN_TYPE_345=Pokémon Lis d’Eau
ZKN_TYPE_346=Pokémon Bernacle
ZKN_TYPE_347=Pokémon Crustage
ZKN_TYPE_348=Pokémon Blindage
ZKN_TYPE_349=Pokémon Poisson
ZKN_TYPE_350=Pokémon Tendre
ZKN_TYPE_351=Pokémon Climat
ZKN_TYPE_352=Pokémon Multicolor
ZKN_TYPE_353=Pokémon Poupée
ZKN_TYPE_354=Pokémon Marionnette
ZKN_TYPE_355=Pokémon Requiem
ZKN_TYPE_356=Pokémon Appel
ZKN_TYPE_357=Pokémon Fruit
ZKN_TYPE_358=Pokémon Carillon
ZKN_TYPE_359=Pokémon Désastre
ZKN_TYPE_360=Pokémon Ravi
ZKN_TYPE_361=Pokémon Capuche
ZKN_TYPE_362=Pokémon Face
ZKN_TYPE_363=Pokémon Clap Clap
ZKN_TYPE_364=Pokémon Roule Boule
ZKN_TYPE_365=Pokémon Brise Glace
ZKN_TYPE_366=Pokémon Bivalve
ZKN_TYPE_367=Pokémon Abysse
ZKN_TYPE_368=Pokémon Mer du Sud
ZKN_TYPE_369=Pokémon Longévité
ZKN_TYPE_370=Pokémon Rendezvous
ZKN_TYPE_371=Pokémon Tête de Roc
ZKN_TYPE_372=Pokémon Endurant
ZKN_TYPE_373=Pokémon Dragon
ZKN_TYPE_374=Pokémon Boulefer
ZKN_TYPE_375=Pokémon Pincefer
ZKN_TYPE_376=Pokémon Pattefer
ZKN_TYPE_377=Pokémon Pic Rocheux
ZKN_TYPE_378=Pokémon Iceberg
ZKN_TYPE_379=Pokémon Fer
ZKN_TYPE_380=Pokémon Éon
ZKN_TYPE_381=Pokémon Éon
ZKN_TYPE_382=Pokémon Bassinmarin
ZKN_TYPE_383=Pokémon Continent
ZKN_TYPE_384=Pokémon Cieux
ZKN_TYPE_385=Pokémon Souhait
ZKN_TYPE_386=Pokémon ADN
ZKN_TYPE_387=Pokémon Minifeuille
ZKN_TYPE_388=Pokémon Bosquet
ZKN_TYPE_389=Pokémon Continent
ZKN_TYPE_390=Pokémon Chimpanzé
ZKN_TYPE_391=Pokémon Garnement
ZKN_TYPE_392=Pokémon Flamme
ZKN_TYPE_393=Pokémon Pingouin
ZKN_TYPE_394=Pokémon Pingouin
ZKN_TYPE_395=Pokémon Empereur
ZKN_TYPE_396=Pokémon Étourneau
ZKN_TYPE_397=Pokémon Étourneau
ZKN_TYPE_398=Pokémon Rapace
ZKN_TYPE_399=Pokémon Souridodue
ZKN_TYPE_400=Pokémon Castor
ZKN_TYPE_401=Pokémon Criquet
ZKN_TYPE_402=Pokémon Criquet
ZKN_TYPE_403=Pokémon Flash
ZKN_TYPE_404=Pokémon Étincelle
ZKN_TYPE_405=Pokémon Brillœil
ZKN_TYPE_406=Pokémon Bourgeon
ZKN_TYPE_407=Pokémon Bouquet
ZKN_TYPE_408=Pokémon Coud’Boule
ZKN_TYPE_409=Pokémon Coud’Boule
ZKN_TYPE_410=Pokémon Bouclier
ZKN_TYPE_411=Pokémon Bouclier
ZKN_TYPE_412=Pokémon Ver Caché
ZKN_TYPE_413=Pokémon Ver Caché
ZKN_TYPE_414=Pokémon Phalène
ZKN_TYPE_415=Pokémon Miniabeille
ZKN_TYPE_416=Pokémon Ruche
ZKN_TYPE_417=Pokémon Écurélec
ZKN_TYPE_418=Pokémon Aquabelette
ZKN_TYPE_419=Pokémon Aquabelette
ZKN_TYPE_420=Pokémon Cerise
ZKN_TYPE_421=Pokémon Floraison
ZKN_TYPE_422=Pokémon Aqualimace
ZKN_TYPE_423=Pokémon Aqualimace
ZKN_TYPE_424=Pokémon Longqueue
ZKN_TYPE_425=Pokémon Bouboule
ZKN_TYPE_426=Pokémon Ballon
ZKN_TYPE_427=Pokémon Lapin
ZKN_TYPE_428=Pokémon Lapin
ZKN_TYPE_429=Pokémon Magique
ZKN_TYPE_430=Pokémon Big Boss
ZKN_TYPE_431=Pokémon Chafouin
ZKN_TYPE_432=Pokémon Chatigre
ZKN_TYPE_433=Pokémon Clochette
ZKN_TYPE_434=Pokémon Moufette
ZKN_TYPE_435=Pokémon Moufette
ZKN_TYPE_436=Pokémon Bronze
ZKN_TYPE_437=Pokémon Clochebronze
ZKN_TYPE_438=Pokémon Bonsaï
ZKN_TYPE_439=Pokémon Mime
ZKN_TYPE_440=Pokémon Maisonjouet
ZKN_TYPE_441=Pokémon Note Musique
ZKN_TYPE_442=Pokémon Interdit
ZKN_TYPE_443=Pokémon Terrequin
ZKN_TYPE_444=Pokémon Caverne
ZKN_TYPE_445=Pokémon Supersonic
ZKN_TYPE_446=Pokémon Goinfre
ZKN_TYPE_447=Pokémon Émanation
ZKN_TYPE_448=Pokémon Aura
ZKN_TYPE_449=Pokémon Hippo
ZKN_TYPE_450=Pokémon Poids Lourd
ZKN_TYPE_451=Pokémon Scorpion
ZKN_TYPE_452=Pokémon Scorpogre
ZKN_TYPE_453=Pokémon Toxique
ZKN_TYPE_454=Pokémon Toxique
ZKN_TYPE_455=Pokémon Chopinsecte
ZKN_TYPE_456=Pokémon Poisson Ailé
ZKN_TYPE_457=Pokémon Néon
ZKN_TYPE_458=Pokémon Cervolant
ZKN_TYPE_459=Pokémon Arbregelé
ZKN_TYPE_460=Pokémon Arbregelé
ZKN_TYPE_461=Pokémon Grifacérée
ZKN_TYPE_462=Pokémon Aimant
ZKN_TYPE_463=Pokémon Lécheur
ZKN_TYPE_464=Pokémon Perceur
ZKN_TYPE_465=Pokémon Vigne
ZKN_TYPE_466=Pokémon Foudrélec
ZKN_TYPE_467=Pokémon Explosion
ZKN_TYPE_468=Pokémon Célébration
ZKN_TYPE_469=Pokémon Libellogre
ZKN_TYPE_470=Pokémon Verdoyant
ZKN_TYPE_471=Pokémon Poudreuse
ZKN_TYPE_472=Pokémon Scorpicroc
ZKN_TYPE_473=Pokémon Deudéfenses
ZKN_TYPE_474=Pokémon Virtuel
ZKN_TYPE_475=Pokémon Lame
ZKN_TYPE_476=Pokémon Boussole
ZKN_TYPE_477=Pokémon Mainpince
ZKN_TYPE_478=Pokémon Enneigement
ZKN_TYPE_479=Pokémon Plasma
ZKN_TYPE_480=Pokémon Savoir
ZKN_TYPE_481=Pokémon Émotion
ZKN_TYPE_482=Pokémon Volonté
ZKN_TYPE_483=Pokémon Temps
ZKN_TYPE_484=Pokémon Espace
ZKN_TYPE_485=Pokémon Caldeira
ZKN_TYPE_486=Pokémon Prodigieux
ZKN_TYPE_487=Pokémon Renégat
ZKN_TYPE_488=Pokémon Lunaire
ZKN_TYPE_489=Pokémon Dérivenmer
ZKN_TYPE_490=Pokémon Voyagenmer
ZKN_TYPE_491=Pokémon Noirtotal
ZKN_TYPE_492=Pokémon Gratitude
ZKN_TYPE_493=Pokémon Alpha
ZKN_TYPE_494=Pokémon Victoire
ZKN_TYPE_495=Pokémon Serpenterbe
ZKN_TYPE_496=Pokémon Serpenterbe
ZKN_TYPE_497=Pokémon Majestueux
ZKN_TYPE_498=Pokémon Cochon Feu
ZKN_TYPE_499=Pokémon Cochon Feu
ZKN_TYPE_500=Pokémon Grochon Feu
ZKN_TYPE_501=Pokémon Loutre
ZKN_TYPE_502=Pokémon Entraînement
ZKN_TYPE_503=Pokémon Dignitaire
ZKN_TYPE_504=Pokémon Espion
ZKN_TYPE_505=Pokémon Vigilant
ZKN_TYPE_506=Pokémon Chiot
ZKN_TYPE_507=Pokémon Chien Fidèle
ZKN_TYPE_508=Pokémon Magnanime
ZKN_TYPE_509=Pokémon Scélérat
ZKN_TYPE_510=Pokémon Implacable
ZKN_TYPE_511=Pokémon Singe Herbe
ZKN_TYPE_512=Pokémon Singépine
ZKN_TYPE_513=Pokémon Brûlant
ZKN_TYPE_514=Pokémon Braise
ZKN_TYPE_515=Pokémon Jet d’Eau
ZKN_TYPE_516=Pokémon Drainage
ZKN_TYPE_517=Pokémon Mangerêve
ZKN_TYPE_518=Pokémon Rêveur
ZKN_TYPE_519=Pokémon Tipigeon
ZKN_TYPE_520=Pokémon Sauvapigeon
ZKN_TYPE_521=Pokémon Fier
ZKN_TYPE_522=Pokémon Étincélec
ZKN_TYPE_523=Pokémon Foudrélec
ZKN_TYPE_524=Pokémon Manteau
ZKN_TYPE_525=Pokémon Minerai
ZKN_TYPE_526=Pokémon Surpression
ZKN_TYPE_527=Pokémon Chovsouris
ZKN_TYPE_528=Pokémon Cupidon
ZKN_TYPE_529=Pokémon Taupe
ZKN_TYPE_530=Pokémon Souterrain
ZKN_TYPE_531=Pokémon Audition
ZKN_TYPE_532=Pokémon Costaud
ZKN_TYPE_533=Pokémon Costaud
ZKN_TYPE_534=Pokémon Costaud
ZKN_TYPE_535=Pokémon Têtard
ZKN_TYPE_536=Pokémon Vibration
ZKN_TYPE_537=Pokémon Vibration
ZKN_TYPE_538=Pokémon Judo
ZKN_TYPE_539=Pokémon Karaté
ZKN_TYPE_540=Pokémon Couture
ZKN_TYPE_541=Pokémon Capefeuille
ZKN_TYPE_542=Pokémon Précepteur
ZKN_TYPE_543=Pokémon Chilopode
ZKN_TYPE_544=Pokémon Coconplopode
ZKN_TYPE_545=Pokémon Mégaplopode
ZKN_TYPE_546=Pokémon Boule Coton
ZKN_TYPE_547=Pokémon Vole Vent
ZKN_TYPE_548=Pokémon Racine
ZKN_TYPE_549=Pokémon Chef-Fleur
ZKN_TYPE_550=Pokémon Violent
ZKN_TYPE_551=Pokémon Croco Sable
ZKN_TYPE_552=Pokémon Croco Sable
ZKN_TYPE_553=Pokémon Intimidation
ZKN_TYPE_554=Pokémon Daruma
ZKN_TYPE_555=Pokémon Enflammé
ZKN_TYPE_556=Pokémon Cactus
ZKN_TYPE_557=Pokémon Lithicole
ZKN_TYPE_558=Pokémon Lapidicole
ZKN_TYPE_559=Pokémon Mue
ZKN_TYPE_560=Pokémon Gang
ZKN_TYPE_561=Pokémon Similoiseau
ZKN_TYPE_562=Pokémon Âme
ZKN_TYPE_563=Pokémon Cercueil
ZKN_TYPE_564=Pokémon Tortantique
ZKN_TYPE_565=Pokémon Tortantique
ZKN_TYPE_566=Pokémon Oisancien
ZKN_TYPE_567=Pokémon Oisancien
ZKN_TYPE_568=Pokémon Sac Poubelle
ZKN_TYPE_569=Pokémon Dépotoir
ZKN_TYPE_570=Pokémon Sombrenard
ZKN_TYPE_571=Pokémon Polymorfox
ZKN_TYPE_572=Pokémon Chinchilla
ZKN_TYPE_573=Pokémon Écharpe
ZKN_TYPE_574=Pokémon Dévisageur
ZKN_TYPE_575=Pokémon Magouilleur
ZKN_TYPE_576=Pokémon Cosmique
ZKN_TYPE_577=Pokémon Cellule
ZKN_TYPE_578=Pokémon Divisé
ZKN_TYPE_579=Pokémon Multiplié
ZKN_TYPE_580=Pokémon Oiseaudo
ZKN_TYPE_581=Pokémon Cygne
ZKN_TYPE_582=Pokémon Poudreuse
ZKN_TYPE_583=Pokémon Grêle
ZKN_TYPE_584=Pokémon Congère
ZKN_TYPE_585=Pokémon Saison
ZKN_TYPE_586=Pokémon Saison
ZKN_TYPE_587=Pokémon Pteromys
ZKN_TYPE_588=Pokémon Carabe
ZKN_TYPE_589=Pokémon Chevalier
ZKN_TYPE_590=Pokémon Champignon
ZKN_TYPE_591=Pokémon Champignon
ZKN_TYPE_592=Pokémon Flottaison
ZKN_TYPE_593=Pokémon Flottaison
ZKN_TYPE_594=Pokémon Soigneur
ZKN_TYPE_595=Pokémon Crampon
ZKN_TYPE_596=Pokémon Araclectrik
ZKN_TYPE_597=Pokémon Graine Épine
ZKN_TYPE_598=Pokémon Boule Épine
ZKN_TYPE_599=Pokémon Engrenage
ZKN_TYPE_600=Pokémon Engrenage
ZKN_TYPE_601=Pokémon Engrenage
ZKN_TYPE_602=Pokémon Électrophore
ZKN_TYPE_603=Pokémon Électrophore
ZKN_TYPE_604=Pokémon Électrophore
ZKN_TYPE_605=Pokémon Cerveau
ZKN_TYPE_606=Pokémon Cerveau
ZKN_TYPE_607=Pokémon Chandelle
ZKN_TYPE_608=Pokémon Lampe
ZKN_TYPE_609=Pokémon Invitation
ZKN_TYPE_610=Pokémon Crocs
ZKN_TYPE_611=Pokémon Hachomenton
ZKN_TYPE_612=Pokémon Hachomenton
ZKN_TYPE_613=Pokémon Gelé
ZKN_TYPE_614=Pokémon Congelé
