
Gemas Rojas S
Gemas Azules S
Gemas Verdes S
Gemas Prisma S
Gemas Blancas S
Gemas Rojas L
Gemas Azules L
Gemas Verdes L
Gemas Prisma L
Gemas Blancas L
Revivir
Revivir Máximos
Estatuas de Sharpedo 
Estatuas de Wailmer 
Estatuas de Camerupt 
Estatuas de Torkoal 
Estatuas de Spinda 
Estatuas de Flygon 
Estatuas de Cacturne 
Estatuas de Altaria 
Estatuas de Zangoose 
Estatuas de Seviper 
Estatuas de Lunatone 
Estatuas de Solrock 
Estatuas de Whiscash 
Estatuas de Claydol 
Estatuas de Cradily 
Estatuas de Milotic 
Estatuas de Castform 
Estatuas de Kecleon 
Estatuas de Tropius 
Estatuas de Chimecho 
Estatuas de Absol 
Estatuas de Spheal 
Estatuas de Clamperl 
Estatuas de Relicanth 
Estatuas de Luvdisc 
Estatuas de Salamence 
Estatuas de Metagross 
Estatuas de Turtwig 
Estatuas de Grotle 
Estatuas de Torterra 
Estatuas de Chimchar 
Estatuas de Monferno 
Estatuas de Infernape 
Estatuas de Piplup 
Estatuas de Prinplup 
Estatuas de Empoleon 
Estatuas de Staraptor 
Estatuas de Bibarel 
Estatuas de Kricketot 
Estatuas de Luxray 
Estatuas de Budew 
Estatuas de Roserade 
Estatuas de Cranidos 
Estatuas de Bastiodon 
Estatuas de Burmy 
Estatuas de Wormadam 
Estatuas de Mothim 
Estatuas de Vespiquen 
Estatuas de Pachirisu 
Estatuas de Floatzel 
Estatuas de Cherubi 
Estatuas de Gastrodon 
Estatuas de Ambipom 
Estatuas de Drifloon 
Estatuas de Buneary 
Estatuas de Mismagius 
Estatuas de Honchkrow 
Estatuas de Purugly 
Estatuas de Skuntank 
Estatuas de Bronzong 
Estatuas de Happiny 
Estatuas de Chatot 
Estatuas de Spiritomb 
Estatuas de Garchomp 
Estatuas de Lucario 
Estatuas de Hippowdon 
Estatuas de Drapion 
Estatuas de Croagunk 
Estatuas de Carnivine 
Estatuas de Lumineon 
Estatuas de Abomasnow 
Estatuas de Weavile 
Estatuas de Magnezone 
Estatuas de Rhyperior 
Estatuas de Tangrowth 
Estatuas de Electivire 
Estatuas de Magmortar 
Estatuas de Togekiss 
Estatuas de Yanmega 
Estatuas de Leafeon 
Estatuas de Glaceon 
Estatuas de Gliscor 
Estatuas de Mamoswine 
Estatuas de Porygon-Z 
Estatuas de Gallade 
Estatuas de Probopass 
Estatuas de Dusknoir 
Estatuas de Froslass 
Estatuas de Rotom 
Estatuas de Rotom 
Estatuas de Rotom 
Estatuas de Rotom 
Estatuas de Rotom 
Estatuas de Rotom 
MT93
MT94
MT95
MT96
MT97
MT98
MT99
MT100
Peanas Cuadradas XL
Peanas Circulares XL
Peanas Trapezoidales XL
Peanas Diáfanas XL
Peanas Dextrógiras XL
Peanas Levógiras XL
