Antitoxin
Flameproof
Lithe
Antifreeze
Snow Shelter
Sand Shelter
Sand Screen
Wide Awake
Clearheaded
Unflappable
Escape Artist
Hit and Run 1
Hit and Run 2
Hit and Run 3
Hit and Run 4
Hit and Run 5
Hit and Run 6
Hit and Run 7
Hit and Run 8
Hit and Run 9
Healing Hand 1
Healing Hand 2
Healing Hand 3
Healing Hand 4
Healing Hand 5
Healing Hand 6
Healing Hand 7
Healing Hand 8
Healing Hand 9
Unhindered
Mad Strength 1
Mad Strength 2
Mad Strength 3
Mad Strength 4
Mad Strength 5
Mad Strength 6
Mad Strength 7
Mad Strength 8
Mad Strength 9
Defense Crush 1
Defense Crush 2
Defense Crush 3
Defense Crush 4
Defense Crush 5
Defense Crush 6
Defense Crush 7
Defense Crush 8
Defense Crush 9
Power Chain 1
Power Chain 2
Power Chain 3
Power Chain 4
Power Chain 5
Power Chain 6
Power Chain 7
Power Chain 8
Power Chain 9
Fairy Shift
Flying Shift
Water Shift
Fire Shift
Electric Shift
Grass Shift
Rock Shift
Ground Shift
Psychic Shift
Bug Shift
Ice Shift
Dark Shift
Steel Shift
Ghost Shift
Poison Shift
Fighting Shift
Dragon Shift
Last Word
Pass It On
Troublemaker 1
Troublemaker 2
Troublemaker 3
Troublemaker 4
Troublemaker 5
Troublemaker 6
Troublemaker 7
Troublemaker 8
Troublemaker 9
Stoic 1
Stoic 2
Stoic 3
Stoic 4
Stoic 5
Stoic 6
Stoic 7
Stoic 8
Stoic 9
Normal Guard
Fire Guard
Water Guard
Electric Guard
Grass Guard
Ice Guard
Fighting Guard
Poison Guard
Ground Guard
Flying Guard
Psychic Guard
Bug Guard
Rock Guard
Ghost Guard
Dragon Guard
Dark Guard
Steel Guard
Fairy Guard
Stance Change
