msg_partner_001={0x0102,0x0001}戳了戳你！[0x000A]要戳回去吗？
msg_partner_118={0x0102,0x0001}[0x000A]在开心地唱歌！
msg_partner_119={0x0102,0x0001}[0x000A]羞涩地笑了！
msg_partner_120={0x0102,0x0001}[0x000A]“啊～”地打了个哈欠！
msg_partner_121={0x0102,0x0001}挠了挠你的肚子！
msg_partner_122={0x0102,0x0001}一直在[0x000A]盯着你的脸看。
msg_partner_123={0x0102,0x0001}[0x000A]很惬意地吹着风。
msg_partner_124={0x0102,0x0001}[0x000A]不停地眺望着高楼大厦。
msg_partner_125={0x0102,0x0001}在草丛里找到了[0x000A]一个小石块，它很高兴！
msg_partner_126={0x0102,0x0001}在草丛中踩来踩去！
msg_partner_127={0x0102,0x0001}努力地[0x000A]闻着房间里的味道。
msg_partner_128={0x0102,0x0001}精神十足地[0x000A]跟了上来！
msg_partner_129={0x0102,0x0001}冷得直打哆嗦……
msg_partner_130={0x0102,0x0001}一直看着下面。
msg_partner_131={0x0102,0x0001}好像有点害怕……
msg_partner_132={0x0102,0x0001}目不转睛地[0x000A]看着天空。
msg_partner_133={0x0102,0x0001}正在仰望天空。
msg_partner_134={0x0102,0x0001}一直在眺望远方。
msg_partner_135={0x0102,0x0001}中毒了，[0x000A]浑身发抖……
msg_partner_136={0x0102,0x0001}非常开心！
msg_partner_137={0x0102,0x0001}终于跟了上来。
msg_partner_138={0x0102,0x0001}强忍着睡意……
msg_partner_139={0x0102,0x0001}睡意朦胧，[0x000A]昏昏欲睡……
msg_partner_140={0x0102,0x0001}饶有兴致地[0x000A]跳起了舞！
msg_partner_141={0x0102,0x0001}[0x000A]不停地拨弄着叶子。
msg_partner_142={0x0102,0x0001}晃动着叶子。
msg_partner_143={0x0102,0x0001}[0x000A]倏地发出了火焰。
msg_partner_144={0x0102,0x0001}[0x000A]蓦地发出了火焰。
msg_partner_145={0x0102,0x0001}[0x000A]忽地发出了火焰。
msg_partner_146={0x0102,0x0001}干劲十足！
msg_partner_147=……[0x000A]它好像打了个喷嚏！
msg_partner_148=……[0x000A]它看起来有点冷。
msg_partner_149=……[0x000A]它好像吃了奇怪的东西。{0xBE00}[0x000A]一脸难吃的样子……
msg_partner_150=……[0x000A]它好像被什么吓了一跳。
msg_partner_151=……[0x000A]它好像在害怕着什么。
msg_partner_152=……[0x000A]好像闻到了一股香味。
msg_partner_153=……啊！[0x000A]它想要翻弄架子！{0xBE00}[0x000A]要教育一下它吗？
msg_partner_154=……[0x000A]它在注视着你。
msg_partner_155=……架子差点倒了，[0x000A]它被吓了一跳！
msg_partner_156=……[0x000A]架子被弄得乱七八糟的。
msg_partner_157=……[0x000A]它不愿与你对视。
msg_partner_158=……[0x000A]就算叫它，它也不过来。
msg_partner_159=啊！{0x0102,0x0001}[0x000A]嘴里叼着电线！{0xBE00}[0x000A]要冲它发火吗？
msg_partner_160=啊！[0x000A]它想偷吃！{0xBE00}[0x000A]要教育一下它吗？
msg_partner_161=啊！[0x000A]它身上粘着叶子！
msg_partner_162=它很高兴地[0x000A]看着你的脚印。
msg_partner_163=能有一个好天气，[0x000A]它好像很高兴！
msg_partner_164=嗅嗅！[0x000A]它好像闻到一股香味！
msg_partner_165={0x0102,0x0001}厌恶地生气了！[0x000A]
msg_partner_166=它目不转睛地看着各种道具。
msg_partner_167={0x0102,0x0001}用很难捉摸的动作，[0x000A]摇摇晃晃地跳着舞蹈。
msg_partner_168={0x0102,0x0001}摇摇晃晃，[0x000A]不可思议地跳着舞蹈。
msg_partner_169={0x0102,0x0001}用难以捉摸的动作，[0x000A]摇摇摆摆地跳着舞蹈。
msg_partner_170={0x0102,0x0001}摇摇摆摆，[0x000A]不可思议地跳着舞蹈。
msg_partner_171=它一直在看着大海！
msg_partner_172=它“啊～”地打了个哈欠！
msg_partner_173=好像有风从里面吹来。
msg_partner_174={0x0102,0x0001}鼓足了干劲！
msg_partner_175=它正在伸展身体放松身心。
msg_partner_176=它睡得很香。
msg_partner_177={0x0102,0x0001}重重地喊叫了起来！
msg_partner_178={0x0102,0x0001}不停地[0x000A]打量着商品。
msg_partner_179=它在努力闻着地板上的味道。
msg_partner_180=嗅嗅！[0x000A]它好像闻到一股香味！
msg_partner_181={0x0102,0x0001}比平时还要[0x000A]激烈地跳着！
msg_partner_182=它一直在看着黑板……[0x000A]但好像并没有看懂。
msg_partner_183={0x0102,0x0001}好像对[0x000A]栅栏对面很感兴趣。
msg_partner_184={0x0102,0x0001}身体冷冷的，[0x000A]但好像非常高兴！
msg_partner_185={0x0102,0x0001}[0x000A]冷飕飕地靠了过来！
msg_partner_186=它正在转动着自行车的螺丝。
msg_partner_187={0x0102,0x0001}好像有点[0x000A]被吓到了。
msg_partner_188=它正在流着口水……
msg_partner_189=它戳了戳你的身体！
msg_partner_190=它正在伸展身体放松身心！
msg_partner_191={0x0102,0x0001}[0x000A]一直在眺望远方。
msg_partner_192=它好像生气了！
msg_partner_193=它好像闻到了什么香味！
msg_partner_194=好像有声音从墙上传来……
msg_partner_195=好像有冷风吹了过来！
msg_partner_196={0x0102,0x0001}[0x000A]好像害羞了。
msg_partner_197={0x0102,0x0001}[0x000A]竟然在哼着歌！
msg_partner_198=花瓣粘在了它的脸上！
msg_partner_199={0x0102,0x0001}在一脸[0x000A]愤怒地吼叫！
msg_partner_200=它在哗啦哗啦地玩着水！
msg_partner_201=它吃惊地转了过来！
msg_partner_202=看起来它很开心地[0x000A]在空中跳着！
msg_partner_203={0x0102,0x0001}的身体[0x000A]像触电了一样颤抖起来！
msg_partner_204={0x0102,0x0001}在瑟瑟发抖！
msg_partner_205=它一脸不快地[0x000A]把头扭了过去……
msg_partner_206=它没有看清前方有什么[0x000A]东西而撞了上去！
msg_partner_207={0x0102,0x0001}在瑟瑟发抖！
msg_partner_208=它在不停地四下张望。
msg_partner_209={0x0102,0x0001}突然叫了起来！
msg_partner_210={0x0102,0x0001}砰砰地[0x000A]敲击着地面！
msg_partner_211={0x0102,0x0001}向着天空[0x000A]吼了起来！
msg_partner_212={0x0102,0x0001}突然[0x000A]转起了圈来！
msg_partner_213={0x0102,0x0001}突然开始叫了起来！
msg_partner_214={0x0102,0x0001}正在瑟瑟发抖！
msg_partner_215=它正在盯着山顶看。
msg_partner_216=哇！{0x0102,0x0001}[0x000A]突然抱住了你！
msg_partner_217=哇！{0x0102,0x0001}[0x000A]突然与你玩耍了起来！
msg_partner_218=哇！{0x0102,0x0001}[0x000A]高兴得跳起了舞来！
msg_partner_219=哇！[0x000A]冷风吹了起来！{0xBE00}[0x000A]它看起来却很高兴？
msg_partner_220=哇！[0x000A]它突然靠了过来！{0xBE00}[0x000A]要摸摸它的头吗？
msg_partner_221=哇！[0x000A]它突然大叫了起来！
msg_partner_222=它好像被刺了一下！
msg_partner_223={0x0102,0x0001}正在借机[0x000A]炫耀自己的力量！
msg_partner_224={0x0102,0x0001}正在摇着[0x000A]手指跳舞！
msg_partner_225={0x0102,0x0001}兴奋得直哼哼！
msg_partner_226={0x0102,0x0001}摇摇晃晃的，[0x000A]感觉很开心。
msg_partner_227={0x0102,0x0001}在活蹦乱跳！
msg_partner_228={0x0102,0x0001}在开心地跳着！
msg_partner_229={0x0102,0x0001}看起来[0x000A]想和其他的宝可梦玩耍！
msg_partner_230={0x0102,0x0001}一圈圈地[0x000A]转动着自己的肚皮。
msg_partner_231=……哎呀？[0x000A]{0x0102,0x0001}的样子……{0xBE00}[0x000A]并没有发生变化！
msg_partner_232={0x0102,0x0001}把藤蔓伸展开，[0x000A]然后把它缠在了你身上！{0xBE00}[0x000A]它看起来很开心！
msg_partner_233={0x0102,0x0001}看起来非常放松。
msg_partner_234={0x0102,0x0001}正在研究所里[0x000A]左看右看。
msg_partner_235=它好像对一圈圈转动的[0x000A]机器很感兴趣。
msg_partner_236={0x0102,0x0001}鼓足了干劲！
msg_partner_237={0x0102,0x0001}干劲十足！
msg_partner_238={0x0102,0x0001}好像很想知道[0x000A]柜子里面的是什么。
msg_partner_239={0x0102,0x0001}直勾勾地看着石头。
msg_partner_240={0x0102,0x0001}一直看着大海。
msg_partner_241={0x0102,0x0001}流着口水……
msg_partner_242={0x0102,0x0001}咕嘟一声[0x000A]咽了一口唾沫。
msg_partner_243={0x0102,0x0001}在骨碌骨碌地[0x000A]滚动着石头。
msg_partner_244={0x0102,0x0001}慢慢地点了点头。
msg_partner_245={0x0102,0x0001}打起了精神！
msg_partner_246={0x0102,0x0001}正在集中精神……
msg_partner_247={0x0102,0x0001}突然吼了起来！
msg_partner_248=哎呀？{0x0102,0x0001}[0x000A]好像找到了什么！
msg_partner_249={0x0102,0x0001}好像被正辉的[0x000A]样子吓到了！
msg_partner_250=听了胖丁的歌后，[0x000A]{0x0102,0x0001}昏昏欲睡。
msg_partner_251=它很开心有了一个新名字！
msg_partner_252={0x0102,0x0001}好像很高兴[0x000A]自己能够战胜{0x0100,0x0003}！
msg_partner_253={0x0102,0x0001}看到新的[0x000A]徽章后，非常高兴！
msg_partner_254={0x0102,0x0001}好像[0x000A]很嫉妒{0x0102,0x0002}……{0xBE00}[0x000A]要安慰一下它吗？
msg_partner_255={0x0102,0x0001}好像很在意[0x000A]{0x0102,0x0002}的外表。
msg_partner_256={0x0102,0x0001}好像对刚才捉住的[0x000A]{0x0102,0x0006}很感兴趣！
msg_partner_257={0x0102,0x0001}好像很高兴[0x000A]你能赢得对战！
msg_partner_258={0x0102,0x0001}对你捡到的[0x000A]{0x0109,0x0003}很感兴趣！
msg_partner_259={0x0102,0x0001}好像对你买的[0x000A]东西很感兴趣！
msg_partner_260={0xBDFF:0x0103}
msg_partner_262=它在上下打量着[0x000A]{0x0100,0x0000}的衣服！
msg_partner_263={0x0102,0x0001}好像在[0x000A]宝可梦中心充分休息了！
msg_partner_264={0x0102,0x0001}好像对[0x000A]交换过来的{0x0102,0x0006}{0xBE00}[0x000A]很感兴趣。
msg_partner_265={0x0102,0x0001}在与{0x0100,0x0006}的[0x000A]对战中变得兴奋起来了！
msg_partner_266={0x0102,0x0001}看起来很痛苦！
msg_partner_267={0x0102,0x0001}冷得浑身打颤……
msg_partner_268={0x0102,0x0001}正在放松身心。
msg_partner_269={0x0102,0x0001}正在放松自己。
msg_partner_270={0x0102,0x0001}正在生闷气！
msg_partner_271={0x0102,0x0001}好像很高兴[0x000A]能和你一起走路！
msg_partner_272={0x0102,0x0001}开心地[0x000A]摇摆着身体！
msg_partner_273={0x0102,0x0001}看起来[0x000A]有点寂寞……
msg_partner_274={0x0102,0x0001}好像[0x000A]闹起情绪来了！
msg_partner_275={0x0102,0x0001}看起来[0x000A]垂头丧气的……{0xBE00}[0x000A]要鼓励鼓励它吗？
msg_partner_276=总感觉{0x0102,0x0001}的[0x000A]动作很轻盈！
msg_partner_277={0x0102,0x0001}非常安静。
msg_partner_278={0x0102,0x0001}好像[0x000A]静不下心来。
msg_partner_279={0x0102,0x0001}很兴奋！
msg_partner_280={0x0102,0x0001}欣喜若狂！
msg_partner_281={0x0102,0x0001}非常安静。
msg_partner_282=它高兴得跳了起来！
msg_partner_283={0x0102,0x0001}正在闻着草香。
msg_partner_284=它沐浴着温暖的阳光，[0x000A]看起来好不惬意。
msg_partner_285=它享受着微风轻拂，[0x000A]看起来非常惬意！
msg_partner_286=它一直看着地上[0x000A]斑驳的阳光。
msg_partner_287=它好像被树声吓了一跳！
msg_partner_288={0x0102,0x0001}看起来[0x000A]想尽快向前进！
msg_partner_289={0x0102,0x0001}看起来[0x000A]有点怕水。
msg_partner_290={0x0102,0x0001}开心地[0x000A]在桥上走着！
msg_partner_291=！[0x000A]……它被桥的晃动吓了一跳！
msg_partner_292={0x0102,0x0001}好像对那[0x000A]神奇的装置很感兴趣！
msg_partner_293=它看起来有点害怕……[0x000A]是因为这昏暗的通道吗？
msg_partner_294={0x0102,0x0001}大声地[0x000A]叫了起来！
msg_partner_295=叫声在地下通道里回响！[0x000A]{0x0102,0x0001}好像很开心。
msg_partner_296={0x0102,0x0001}看起来[0x000A]很想知道垃圾箱里有什么。
msg_partner_297={0x0102,0x0001}想要引起观众的注意！
msg_partner_298={0x0102,0x0001}神色复杂……[0x000A]好像闻到了奇怪的味道！
msg_partner_299={0x0102,0x0001}被许多地鼠[0x000A]围了起来，一脸幸福！
msg_partner_300={0x0102,0x0001}似乎[0x000A]被什么吓到了……
msg_partner_301={0x0102,0x0001}突然把头转了过去！[0x000A]……好像在注意着什么。
msg_partner_302={0x0102,0x0001}看起来很平静。
msg_partner_303={0x0102,0x0001}一直在[0x000A]思考着什么。
msg_partner_304=嗅嗅……[0x000A]它在闻道馆的味道！
msg_partner_305={0x0102,0x0001}激动地[0x000A]看着高楼！
msg_partner_306={0x0102,0x0001}看着[0x000A]大楼里的灯光。
msg_partner_307={0x0102,0x0001}正在闻[0x000A]房间里的味道！{0xBE00}[0x000A]大概是对榻榻米感兴趣吧？
msg_partner_308={0x0102,0x0001}觉得非常惬意。
msg_partner_309={0x0102,0x0001}被地板的[0x000A]咯吱咯吱声吓了一跳！
msg_partner_310={0x0102,0x0001}惬意地游着泳！
msg_partner_311={0x0102,0x0001}对奔腾不息的[0x000A]水流很感兴趣！
msg_partner_312={0x0102,0x0001}被奔腾不息的[0x000A]水流吓了一跳！
msg_partner_313=冰冷宁静的空气[0x000A]使{0x0102,0x0001}不由自主地{0xBE00}[0x000A]挺了挺身子。
msg_partner_314=它好奇地打量着道馆里的设备。
msg_partner_315={0x0102,0x0001}在思考着什么。
msg_partner_316={0x0102,0x0001}干劲十足！
msg_partner_317={0x0102,0x0001}看着你[0x000A]慢慢地点了点头。
msg_partner_318={0x0102,0x0001}开心地在沙上走着。
msg_partner_319={0x0102,0x0001}正在玩着沙子。
msg_partner_320=它好像感觉到了[0x000A]很强的电力……
msg_partner_321={0x0102,0x0001}正在四下张望。
msg_partner_322={0x0102,0x0001}感觉到了[0x000A]某种气息。
msg_partner_323={0x0102,0x0001}好像对[0x000A]地板的花纹很感兴趣！
msg_partner_324={0x0102,0x0001}遥望着[0x000A]远方的天空。
msg_partner_325=它好像对你会买[0x000A]什么很感兴趣。
msg_partner_326=它欢呼雀跃地[0x000A]望着远方的景色！
msg_partner_327=看来草地能让它感到平静。
msg_partner_328=看来你的房间能让它感到平静。
msg_partner_329={0x0102,0x0001}好像对[0x000A]风车很感兴趣！
msg_partner_330={0x0102,0x0001}看看周围，[0x000A]有点不知所措！
msg_partner_331=它好像被很滑的[0x000A]地面吓了一跳！
msg_partner_332={0x0102,0x0001}开心地看着地砖。
msg_partner_333={0x0102,0x0001}开心地看着[0x000A]五颜六色的商品！
msg_partner_334={0x0102,0x0001}好像对[0x000A]显示器很感兴趣。
msg_partner_335={0x0102,0x0001}时不时地[0x000A]看着墙上的海报。
msg_partner_336={0x0102,0x0001}感觉很惬意。
msg_partner_337={0x0102,0x0001}在小心地走着。
msg_partner_338={0x0102,0x0001}不耐烦了！[0x000A]看起来想尽快从这里出去。
msg_partner_339=它在害怕浓雾……
msg_partner_340={0x0102,0x0001}正在看着[0x000A]远处的海浪。
msg_partner_341={0x0102,0x0001}对地板上的[0x000A]脚印很感兴趣！
msg_partner_342={0x0102,0x0001}环视着屋内，[0x000A]好像很吃惊的样子！
msg_partner_343={0x0102,0x0001}好奇地[0x000A]环视着观众席。
msg_partner_344=嗅嗅……[0x000A]{0x0102,0x0001}正在闻气味。
msg_partner_345=好像有一种不寻常的气味？
msg_partner_346=它好像对精灵球上的[0x000A]标记很感兴趣。
msg_partner_347={0x0102,0x0001}紧张得[0x000A]屏住了呼吸！
msg_partner_348={0x0102,0x0001}环视着周围[0x000A]那些高耸的大楼。
msg_partner_349={0x0102,0x0001}很开心地[0x000A]在栈桥上走着！
msg_partner_350={0x0102,0x0001}很高兴能看到[0x000A]很多训练家。
msg_partner_351={0x0102,0x0001}正在放松休息！
msg_partner_352={0x0102,0x0001}看上去很平静。
msg_partner_353={0x0102,0x0001}对传送装置[0x000A]很感兴趣！
msg_partner_354={0x0102,0x0001}好像很开心[0x000A]能来到高的地方！
msg_partner_355={0x0102,0x0001}的身体[0x000A]好像在噼啪作响。
msg_partner_356={0x0102,0x0001}燃起了斗志！
msg_partner_357={0x0102,0x0001}一直在[0x000A]盯着水看……
msg_partner_358={0x0102,0x0001}看着大海[0x000A]欢呼雀跃！
msg_partner_359={0x0102,0x0001}在[0x000A]“啪啪”地拍着水。
msg_partner_360=看来草的芳香气味能让[0x000A]{0x0102,0x0001}感到平静。
msg_partner_361=它好像很开心[0x000A]今天的太阳暖暖的！
msg_partner_362={0x0102,0x0001}鼓足干劲，[0x000A]电流声噼啪作响！
msg_partner_363=从{0x0102,0x0001}的身上[0x000A]感受到了一股凉冰冰的冷气。
msg_partner_364=……空气好像变得[0x000A]寒冷了起来。
msg_partner_365={0x0102,0x0001}正在剧烈地[0x000A]做着运动！
msg_partner_366=从{0x0102,0x0001}的身上[0x000A]传来了一股有毒的味道。
msg_partner_367={0x0102,0x0001}好像[0x000A]有一点点不安……
msg_partner_368={0x0102,0x0001}好像很喜欢[0x000A]干爽的地面！
msg_partner_369={0x0102,0x0001}看起来[0x000A]好像有一点点不高兴……
msg_partner_370={0x0102,0x0001}很高兴地[0x000A]看着岩山隧道！
msg_partner_371={0x0102,0x0001}看起来[0x000A]一副泰然自若的表情！
msg_partner_372={0x0102,0x0001}感受到了[0x000A]一股神奇的力量！
msg_partner_373={0x0102,0x0001}看上去[0x000A]很是惬意舒适。
msg_partner_374={0x0102,0x0001}突然转了过去！[0x000A]……难道后面有什么吗？
msg_partner_375={0x0102,0x0001}笑嘻嘻的。
msg_partner_376={0x0102,0x0001}好像对[0x000A]冷气很有兴趣……
msg_partner_377={0x0102,0x0001}[0x000A]抬起眼看着你！
msg_partner_378={0x0102,0x0001}开心地[0x000A]跟在后面！
msg_partner_379={0x0102,0x0001}看起来很高兴[0x000A]能跟在你的后面。
msg_partner_380={0x0102,0x0001}好像很高兴[0x000A]你能和它说话！
msg_partner_381={0x0102,0x0001}迫不及待地[0x000A]想要尽快前进！
msg_partner_382=它看起来很高兴[0x000A]能超过{0x0100,0x0000}！
msg_partner_383={0x0102,0x0001}看起来[0x000A]迫不及待！
msg_partner_384={0x0102,0x0001}好像希望[0x000A]你能跟着它走！
msg_partner_385={0x0102,0x0001}非常活泼！
msg_partner_386={0x0102,0x0001}很高兴[0x000A]能和你一起游泳。
msg_partner_387={0x0102,0x0001}在游泳的时候[0x000A]对你和{0x0102,0x0002}很感兴趣！
msg_partner_388={0x0102,0x0001}觉得水上很舒服，[0x000A]一脸幸福的样子！
msg_partner_389={0x0102,0x0001}正在[0x000A]随波逐流……{0xBE00}[0x000A]它很享受在水中沉沉浮浮！
msg_partner_390={0x0102,0x0001}一脸自豪地[0x000A]背着你和{0x0102,0x0002}！
msg_partner_391=哎呀，危险！{0xBE01}[0x000A]{0x0102,0x0001}[0x000A]失去平衡了！
msg_partner_392={0x0102,0x0001}一边看着脚下，[0x000A]一边背着{0x0100,0x0000}！
msg_partner_393={0x0102,0x0001}好像[0x000A]很高兴能背你！
msg_partner_394={0x0102,0x0001}好像还想背你！
msg_partner_395={0x0102,0x0001}开心地飞翔着！
msg_partner_396={0x0102,0x0002}很震惊天空能有这么高，[0x000A]但它看上去却很开心！
msg_partner_397={0x0102,0x0001}正在俯瞰下方。
msg_partner_398={0x0102,0x0001}很高兴[0x000A]能和你一起飞行！
msg_partner_399=吹起了强风，{0x0102,0x0001}[0x000A]不由自主地摇晃了起来！
msg_partner_400=哎呀？{0x0102,0x0001}[0x000A]手里拿着什么……
msg_partner_401={0x0102,0x0001}在闻花香！
msg_partner_402={0x0102,0x0001}好像[0x000A]一直在看着树梢……
msg_partner_403={0x0102,0x0001}好像对[0x000A]树篱很感兴趣！
