ZKN_TYPE_000=Pokémon ?????
ZKN_TYPE_102=Pokémon Uovo
ZKN_TYPE_103=Pokémon Nocecocco
ZKN_TYPE_104=Pokémon Solitario
ZKN_TYPE_105=Pokémon Guardaossi
ZKN_TYPE_106=Pokémon Tiracalci
ZKN_TYPE_107=Pokémon Tirapugni
ZKN_TYPE_108=Pokémon Linguaccia
ZKN_TYPE_109=Pokémon Velenuvola
ZKN_TYPE_110=Pokémon Velenuvola
ZKN_TYPE_111=Pokémon Punzoni
ZKN_TYPE_112=Pokémon Trapano
ZKN_TYPE_113=Pokémon Uovo
ZKN_TYPE_114=Pokémon Liana
ZKN_TYPE_115=Pokémon Genitore
ZKN_TYPE_116=Pokémon Drago
ZKN_TYPE_117=Pokémon Drago
ZKN_TYPE_118=Pokémon Pescerosso
ZKN_TYPE_119=Pokémon Pescerosso
ZKN_TYPE_120=Pokémon Stella
ZKN_TYPE_121=Pokémon Misterioso
ZKN_TYPE_122=Pokémon Barriera
ZKN_TYPE_123=Pokémon Mantide
ZKN_TYPE_124=Pokémon Umanoide
ZKN_TYPE_125=Pokémon Elettrico
ZKN_TYPE_126=Pokémon Sputafuoco
ZKN_TYPE_127=Pokémon Cervolante
ZKN_TYPE_128=Pokémon Torobrado
ZKN_TYPE_129=Pokémon Pesce
ZKN_TYPE_130=Pokémon Atroce
ZKN_TYPE_131=Pokémon Trasporto
ZKN_TYPE_132=Pokémon Mutante
ZKN_TYPE_133=Pokémon Evoluzione
ZKN_TYPE_134=Pokémon Bollajet
ZKN_TYPE_135=Pokémon Luminoso
ZKN_TYPE_136=Pokémon Fiamma
ZKN_TYPE_137=Pokémon Virtuale
ZKN_TYPE_138=Pokémon Spirale
ZKN_TYPE_139=Pokémon Spirale
ZKN_TYPE_140=Pokémon Crostaceo
ZKN_TYPE_141=Pokémon Crostaceo
ZKN_TYPE_142=Pokémon Fossile
ZKN_TYPE_143=Pokémon Sonno
ZKN_TYPE_144=Pokémon Gelo
ZKN_TYPE_145=Pokémon Elettrico
ZKN_TYPE_146=Pokémon Fiamma
ZKN_TYPE_147=Pokémon Drago
ZKN_TYPE_148=Pokémon Drago
ZKN_TYPE_149=Pokémon Drago
ZKN_TYPE_150=Pokémon Genetico
ZKN_TYPE_151=Pokémon Novaspecie
ZKN_TYPE_152=Pokémon Foglia
ZKN_TYPE_153=Pokémon Foglia
ZKN_TYPE_154=Pokémon Erbe
ZKN_TYPE_155=Pokémon Fuocotopo
ZKN_TYPE_156=Pokémon Vulcano
ZKN_TYPE_157=Pokémon Vulcano
ZKN_TYPE_158=Pokémon Mascellone
ZKN_TYPE_159=Pokémon Mascellone
ZKN_TYPE_160=Pokémon Mascellone
ZKN_TYPE_161=Pokémon Esplorante
ZKN_TYPE_162=Pokémon Lungocorpo
ZKN_TYPE_163=Pokémon Gufo
ZKN_TYPE_164=Pokémon Gufo
ZKN_TYPE_165=Pokémon Pentastra
ZKN_TYPE_166=Pokémon Pentastra
ZKN_TYPE_167=Pokémon Tela
ZKN_TYPE_168=Pokémon Lungazampa
ZKN_TYPE_169=Pokémon Pipistrello
ZKN_TYPE_170=Pokémon Pescatore
ZKN_TYPE_171=Pokémon Luce
ZKN_TYPE_172=Pokémon Topino
ZKN_TYPE_173=Pokémon Stella
ZKN_TYPE_174=Pokémon Pallone
ZKN_TYPE_175=Pokémon Pallapunte
ZKN_TYPE_176=Pokémon Felicità
ZKN_TYPE_177=Pokémon Uccellino
ZKN_TYPE_178=Pokémon Magico
ZKN_TYPE_179=Pokémon Lana
ZKN_TYPE_180=Pokémon Lana
ZKN_TYPE_181=Pokémon Luce
ZKN_TYPE_182=Pokémon Fiore
ZKN_TYPE_183=Pokémon Acquatopo
ZKN_TYPE_184=Pokémon Acquniglio
ZKN_TYPE_185=Pokémon Imitazione
ZKN_TYPE_186=Pokémon Rana
ZKN_TYPE_187=Pokémon Gramigna
ZKN_TYPE_188=Pokémon Gramigna
ZKN_TYPE_189=Pokémon Gramigna
ZKN_TYPE_190=Pokémon Lungacoda
ZKN_TYPE_191=Pokémon Seme
ZKN_TYPE_192=Pokémon Sole
ZKN_TYPE_193=Pokémon Alachiara
ZKN_TYPE_194=Pokémon Acquapesce
ZKN_TYPE_195=Pokémon Acquapesce
ZKN_TYPE_196=Pokémon Sole
ZKN_TYPE_197=Pokémon Lucelunare
ZKN_TYPE_198=Pokémon Oscurità
ZKN_TYPE_199=Pokémon Reale
ZKN_TYPE_200=Pokémon Strido
ZKN_TYPE_201=Pokémon Simbolo
ZKN_TYPE_202=Pokémon Pazienza
ZKN_TYPE_203=Pokémon Lungocollo
ZKN_TYPE_204=Pokémon Larva
ZKN_TYPE_205=Pokémon Larva
ZKN_TYPE_206=Pokémon Terraserpe
ZKN_TYPE_207=Pokémon Aliscorpio
ZKN_TYPE_208=Pokémon Ferroserpe
ZKN_TYPE_209=Pokémon Fata
ZKN_TYPE_210=Pokémon Fata
ZKN_TYPE_211=Pokémon Pallone
ZKN_TYPE_212=Pokémon Chela
ZKN_TYPE_213=Pokémon Muffa
ZKN_TYPE_214=Pokémon Monocorno
ZKN_TYPE_215=Pokémon Lamartigli
ZKN_TYPE_216=Pokémon Orsetto
ZKN_TYPE_217=Pokémon Letargo
ZKN_TYPE_218=Pokémon Lava
ZKN_TYPE_219=Pokémon Lava
ZKN_TYPE_220=Pokémon Maiale
ZKN_TYPE_221=Pokémon Suino
ZKN_TYPE_222=Pokémon Corallo
ZKN_TYPE_223=Pokémon Jet
ZKN_TYPE_224=Pokémon Jet
ZKN_TYPE_225=Pokémon Consegna
ZKN_TYPE_226=Pokémon Aquilone
ZKN_TYPE_227=Pokémon Armuccello
ZKN_TYPE_228=Pokémon Buio
ZKN_TYPE_229=Pokémon Buio
ZKN_TYPE_230=Pokémon Drago
ZKN_TYPE_231=Pokémon Nasone
ZKN_TYPE_232=Pokémon Armatura
ZKN_TYPE_233=Pokémon Virtuale
ZKN_TYPE_234=Pokémon Grancorno
ZKN_TYPE_235=Pokémon Pittore
ZKN_TYPE_236=Pokémon Baruffa
ZKN_TYPE_237=Pokémon Verticale
ZKN_TYPE_238=Pokémon Bacio
ZKN_TYPE_239=Pokémon Elettrico
ZKN_TYPE_240=Pokémon Carbonvivo
ZKN_TYPE_241=Pokémon Bovino
ZKN_TYPE_242=Pokémon Felicità
ZKN_TYPE_243=Pokémon Tuono
ZKN_TYPE_244=Pokémon Vulcano
ZKN_TYPE_245=Pokémon Aurora
ZKN_TYPE_246=Pokémon Peldisasso
ZKN_TYPE_247=Pokémon Guscioduro
ZKN_TYPE_248=Pokémon Armatura
ZKN_TYPE_249=Pokémon Immersione
ZKN_TYPE_250=Pokémon Arcobaleno
ZKN_TYPE_251=Pokémon Tempovia
ZKN_TYPE_252=Pokémon Legnogeco
ZKN_TYPE_253=Pokémon Legnogeco
ZKN_TYPE_254=Pokémon Foresta
ZKN_TYPE_255=Pokémon Pulcino
ZKN_TYPE_256=Pokémon Rampollo
ZKN_TYPE_257=Pokémon Vampe
ZKN_TYPE_258=Pokémon Fango Pesce
ZKN_TYPE_259=Pokémon Fango Pesce
ZKN_TYPE_260=Pokémon Fango Pesce
ZKN_TYPE_261=Pokémon Morso
ZKN_TYPE_262=Pokémon Morso
ZKN_TYPE_263=Pokémon Procione
ZKN_TYPE_264=Pokémon Sfrecciante
ZKN_TYPE_265=Pokémon Baco
ZKN_TYPE_266=Pokémon Bozzolo
ZKN_TYPE_267=Pokémon Farfalla
ZKN_TYPE_268=Pokémon Bozzolo
ZKN_TYPE_269=Pokémon Velentarma
ZKN_TYPE_270=Pokémon Alga
ZKN_TYPE_271=Pokémon Giocoso
ZKN_TYPE_272=Pokémon Spensierato
ZKN_TYPE_273=Pokémon Ghianda
ZKN_TYPE_274=Pokémon Scaltro
ZKN_TYPE_275=Pokémon Burbero
ZKN_TYPE_276=Pokémon Rondinella
ZKN_TYPE_277=Pokémon Rondine
ZKN_TYPE_278=Pokémon Gabbiano
ZKN_TYPE_279=Pokémon Alacquatico
ZKN_TYPE_280=Pokémon Sensazione
ZKN_TYPE_281=Pokémon Emozione
ZKN_TYPE_282=Pokémon Abbraccio
ZKN_TYPE_283=Pokémon Sfiorapozze
ZKN_TYPE_284=Pokémon Occhi
ZKN_TYPE_285=Pokémon Fungo
ZKN_TYPE_286=Pokémon Fungo
ZKN_TYPE_287=Pokémon Ozioso
ZKN_TYPE_288=Pokémon Indocile
ZKN_TYPE_289=Pokémon Pigrizia
ZKN_TYPE_290=Pokémon Novizio
ZKN_TYPE_291=Pokémon Ninja
ZKN_TYPE_292=Pokémon Cambiapelle
ZKN_TYPE_293=Pokémon Sussurro
ZKN_TYPE_294=Pokémon Vocione
ZKN_TYPE_295=Pokémon Fragore
ZKN_TYPE_296=Pokémon Coraggio
ZKN_TYPE_297=Pokémon Sberletese
ZKN_TYPE_298=Pokémon Pois
ZKN_TYPE_299=Pokémon Bussola
ZKN_TYPE_300=Pokémon Micio
ZKN_TYPE_301=Pokémon Finezza
ZKN_TYPE_302=Pokémon Oscurità
ZKN_TYPE_303=Pokémon Inganno
ZKN_TYPE_304=Pokémon Corazza
ZKN_TYPE_305=Pokémon Corazza
ZKN_TYPE_306=Pokémon Corazza
ZKN_TYPE_307=Pokémon Meditazione
ZKN_TYPE_308=Pokémon Meditazione
ZKN_TYPE_309=Pokémon Lampo
ZKN_TYPE_310=Pokémon Scossa
ZKN_TYPE_311=Pokémon Incitamento
ZKN_TYPE_312=Pokémon Incitamento
ZKN_TYPE_313=Pokémon Lucciola
ZKN_TYPE_314=Pokémon Lucciola
ZKN_TYPE_315=Pokémon Spina
ZKN_TYPE_316=Pokémon Stomaco
ZKN_TYPE_317=Pokémon Velenosacco
ZKN_TYPE_318=Pokémon Feroce
ZKN_TYPE_319=Pokémon Brutale
ZKN_TYPE_320=Pokémon Balenottero
ZKN_TYPE_321=Pokémon Megabalena
ZKN_TYPE_322=Pokémon Torpore
ZKN_TYPE_323=Pokémon Eruzione
ZKN_TYPE_324=Pokémon Carbone
ZKN_TYPE_325=Pokémon Molla
ZKN_TYPE_326=Pokémon Raggiro
ZKN_TYPE_327=Pokémon Macchipanda
ZKN_TYPE_328=Pokémon Trappola
ZKN_TYPE_329=Pokémon Vibrazione
ZKN_TYPE_330=Pokémon Magico
ZKN_TYPE_331=Pokémon Cactus
ZKN_TYPE_332=Pokémon Spavento
ZKN_TYPE_333=Pokémon Alidicotone
ZKN_TYPE_334=Pokémon Canterino
ZKN_TYPE_335=Pokémon Furogatto
ZKN_TYPE_336=Pokémon Zannaserpe
ZKN_TYPE_337=Pokémon Meteorite
ZKN_TYPE_338=Pokémon Meteorite
ZKN_TYPE_339=Pokémon Baffetti
ZKN_TYPE_340=Pokémon Baffetti
ZKN_TYPE_341=Pokémon Birbone
ZKN_TYPE_342=Pokémon Canaglia
ZKN_TYPE_343=Pokémon Argilla
ZKN_TYPE_344=Pokémon Argilla
ZKN_TYPE_345=Pokémon Fiordimare
ZKN_TYPE_346=Pokémon Lepade
ZKN_TYPE_347=Pokémon Primaceo
ZKN_TYPE_348=Pokémon Piastre
ZKN_TYPE_349=Pokémon Pesce
ZKN_TYPE_350=Pokémon Tenerezza
ZKN_TYPE_351=Pokémon Meteo
ZKN_TYPE_352=Pokémon Mutacolore
ZKN_TYPE_353=Pokémon Pupazzo
ZKN_TYPE_354=Pokémon Marionetta
ZKN_TYPE_355=Pokémon Requiem
ZKN_TYPE_356=Pokémon Ipnosguardo
ZKN_TYPE_357=Pokémon Frutto
ZKN_TYPE_358=Pokémon Vencampana
ZKN_TYPE_359=Pokémon Catastrofe
ZKN_TYPE_360=Pokémon Brillante
ZKN_TYPE_361=Pokémon Cappelneve
ZKN_TYPE_362=Pokémon Tuttomuso
ZKN_TYPE_363=Pokémon Rotolante
ZKN_TYPE_364=Pokémon Rotapalla
ZKN_TYPE_365=Pokémon Spaccagelo
ZKN_TYPE_366=Pokémon Bivalve
ZKN_TYPE_367=Pokémon Abissi
ZKN_TYPE_368=Pokémon Sudmarino
ZKN_TYPE_369=Pokémon Longevità
ZKN_TYPE_370=Pokémon Rendezvous
ZKN_TYPE_371=Pokémon Rocciotesta
ZKN_TYPE_372=Pokémon Resistenza
ZKN_TYPE_373=Pokémon Drago
ZKN_TYPE_374=Pokémon Ferrosfera
ZKN_TYPE_375=Pokémon Ferrunghia
ZKN_TYPE_376=Pokémon Ferrarto
ZKN_TYPE_377=Pokémon Picco
ZKN_TYPE_378=Pokémon Iceberg
ZKN_TYPE_379=Pokémon Ferro
ZKN_TYPE_380=Pokémon Eone
ZKN_TYPE_381=Pokémon Eone
ZKN_TYPE_382=Pokémon Oceano
ZKN_TYPE_383=Pokémon Continente
ZKN_TYPE_384=Pokémon Stratosfera
ZKN_TYPE_385=Pokémon Desiderio
ZKN_TYPE_386=Pokémon DNA
ZKN_TYPE_387=Pokémon Fogliolina
ZKN_TYPE_388=Pokémon Boschetto
ZKN_TYPE_389=Pokémon Continente
ZKN_TYPE_390=Pokémon Scimpanzé
ZKN_TYPE_391=Pokémon Briccone
ZKN_TYPE_392=Pokémon Fiamma
ZKN_TYPE_393=Pokémon Pinguino
ZKN_TYPE_394=Pokémon Pinguino
ZKN_TYPE_395=Pokémon Imperatore
ZKN_TYPE_396=Pokémon Storno
ZKN_TYPE_397=Pokémon Storno
ZKN_TYPE_398=Pokémon Rapace
ZKN_TYPE_399=Pokémon Topaffuto
ZKN_TYPE_400=Pokémon Castoro
ZKN_TYPE_401=Pokémon Grillo
ZKN_TYPE_402=Pokémon Grillo
ZKN_TYPE_403=Pokémon Baleno
ZKN_TYPE_404=Pokémon Favilla
ZKN_TYPE_405=Pokémon Occhiluce
ZKN_TYPE_406=Pokémon Germoglio
ZKN_TYPE_407=Pokémon Floreale
ZKN_TYPE_408=Pokémon Cranioso
ZKN_TYPE_409=Pokémon Cranioso
ZKN_TYPE_410=Pokémon Schermo
ZKN_TYPE_411=Pokémon Schermo
ZKN_TYPE_412=Pokémon Larva
ZKN_TYPE_413=Pokémon Larva
ZKN_TYPE_414=Pokémon Falena
ZKN_TYPE_415=Pokémon Apetta
ZKN_TYPE_416=Pokémon Alveare
ZKN_TYPE_417=Pokémon Elescoiatto
ZKN_TYPE_418=Pokémon Maridonnola
ZKN_TYPE_419=Pokémon Maridonnola
ZKN_TYPE_420=Pokémon Ciliegia
ZKN_TYPE_421=Pokémon Bocciolo
ZKN_TYPE_422=Pokémon Lumacomare
ZKN_TYPE_423=Pokémon Lumacomare
ZKN_TYPE_424=Pokémon Lungacoda
ZKN_TYPE_425=Pokémon Pallone
ZKN_TYPE_426=Pokémon Dirigibile
ZKN_TYPE_427=Pokémon Coniglio
ZKN_TYPE_428=Pokémon Coniglio
ZKN_TYPE_429=Pokémon Stregone
ZKN_TYPE_430=Pokémon Grancapo
ZKN_TYPE_431=Pokémon Felide
ZKN_TYPE_432=Pokémon Gattotigre
ZKN_TYPE_433=Pokémon Sonaglio
ZKN_TYPE_434=Pokémon Moffetta
ZKN_TYPE_435=Pokémon Moffetta
ZKN_TYPE_436=Pokémon Bronzo
ZKN_TYPE_437=Pokémon Squibronzo
ZKN_TYPE_438=Pokémon Bonsai
ZKN_TYPE_439=Pokémon Mimo
ZKN_TYPE_440=Pokémon Ovettino
ZKN_TYPE_441=Pokémon Musicale
ZKN_TYPE_442=Pokémon Proibito
ZKN_TYPE_443=Pokémon Squaloterra
ZKN_TYPE_444=Pokémon Grotta
ZKN_TYPE_445=Pokémon Mach
ZKN_TYPE_446=Pokémon Ghiottone
ZKN_TYPE_447=Pokémon Emanazione
ZKN_TYPE_448=Pokémon Aura
ZKN_TYPE_449=Pokémon Ippo
ZKN_TYPE_450=Pokémon Grandepeso
ZKN_TYPE_451=Pokémon Scorpione
ZKN_TYPE_452=Pokémon Scorpiaccio
ZKN_TYPE_453=Pokémon Inveieleno
ZKN_TYPE_454=Pokémon Inveieleno
ZKN_TYPE_455=Pokémon Insettivoro
ZKN_TYPE_456=Pokémon Pescealato
ZKN_TYPE_457=Pokémon Neon
ZKN_TYPE_458=Pokémon Aquilone
ZKN_TYPE_459=Pokémon Albergelo
ZKN_TYPE_460=Pokémon Albergelo
ZKN_TYPE_461=Pokémon Lamartigli
ZKN_TYPE_462=Pokémon Magnetico
ZKN_TYPE_463=Pokémon Linguaccia
ZKN_TYPE_464=Pokémon Trapano
ZKN_TYPE_465=Pokémon Liana
ZKN_TYPE_466=Pokémon Saetta
ZKN_TYPE_467=Pokémon Esplosivo
ZKN_TYPE_468=Pokémon Festa
ZKN_TYPE_469=Pokémon Libellorco
ZKN_TYPE_470=Pokémon Rigoglioso
ZKN_TYPE_471=Pokémon Nevefresca
ZKN_TYPE_472=Pokémon Scorpidente
ZKN_TYPE_473=Pokémon Duezanne
ZKN_TYPE_474=Pokémon Virtuale
ZKN_TYPE_475=Pokémon Lama
ZKN_TYPE_476=Pokémon Bussola
ZKN_TYPE_477=Pokémon Pinza
ZKN_TYPE_478=Pokémon Suolnevoso
ZKN_TYPE_479=Pokémon Plasma
ZKN_TYPE_480=Pokémon Sapienza
ZKN_TYPE_481=Pokémon Emozione
ZKN_TYPE_482=Pokémon Volontà
ZKN_TYPE_483=Pokémon Tempo
ZKN_TYPE_484=Pokémon Spazio
ZKN_TYPE_485=Pokémon Cratere
ZKN_TYPE_486=Pokémon Colossale
ZKN_TYPE_487=Pokémon Ribelle
ZKN_TYPE_488=Pokémon Falcato
ZKN_TYPE_489=Pokémon Oceanbondo
ZKN_TYPE_490=Pokémon Oceandante
ZKN_TYPE_491=Pokémon Neropesto
ZKN_TYPE_492=Pokémon Gratitudine
ZKN_TYPE_493=Pokémon Primevo
ZKN_TYPE_494=Pokémon Vittoria
ZKN_TYPE_495=Pokémon Serperba
ZKN_TYPE_496=Pokémon Serperba
ZKN_TYPE_497=Pokémon Regale
ZKN_TYPE_498=Pokémon Suinfuoco
ZKN_TYPE_499=Pokémon Suinfuoco
ZKN_TYPE_500=Pokémon Suincendio
ZKN_TYPE_501=Pokémon Lontra
ZKN_TYPE_502=Pokémon Apprendista
ZKN_TYPE_503=Pokémon Dignità
ZKN_TYPE_504=Pokémon Esplorante
ZKN_TYPE_505=Pokémon Sentinella
ZKN_TYPE_506=Pokémon Cagnolino
ZKN_TYPE_507=Pokémon Fedeltà
ZKN_TYPE_508=Pokémon Generosità
ZKN_TYPE_509=Pokémon Furbizia
ZKN_TYPE_510=Pokémon Sanguefreddo
ZKN_TYPE_511=Pokémon Scimperba
ZKN_TYPE_512=Pokémon Spinpanzé
ZKN_TYPE_513=Pokémon Testacalda
ZKN_TYPE_514=Pokémon Sfavillante
ZKN_TYPE_515=Pokémon Annaffiatore
ZKN_TYPE_516=Pokémon Spruzzacqua
ZKN_TYPE_517=Pokémon Divorasogni
ZKN_TYPE_518=Pokémon Dormiveglia
ZKN_TYPE_519=Pokémon Piccione
ZKN_TYPE_520=Pokémon Granpiccione
ZKN_TYPE_521=Pokémon Orgoglio
ZKN_TYPE_522=Pokémon Caricavolt
ZKN_TYPE_523=Pokémon Saetta
ZKN_TYPE_524=Pokémon Placca
ZKN_TYPE_525=Pokémon Minerale
ZKN_TYPE_526=Pokémon Pressionalta
ZKN_TYPE_527=Pokémon Pipistrello
ZKN_TYPE_528=Pokémon Cercamore
ZKN_TYPE_529=Pokémon Talpa
ZKN_TYPE_530=Pokémon Sottoterra
ZKN_TYPE_531=Pokémon Ascolto
ZKN_TYPE_532=Pokémon Forzaimmane
ZKN_TYPE_533=Pokémon Forzaimmane
ZKN_TYPE_534=Pokémon Forzaimmane
ZKN_TYPE_535=Pokémon Girino
ZKN_TYPE_536=Pokémon Vibrazione
ZKN_TYPE_537=Pokémon Vibrazione
ZKN_TYPE_538=Pokémon Judo
ZKN_TYPE_539=Pokémon Karate
ZKN_TYPE_540=Pokémon Grancucito
ZKN_TYPE_541=Pokémon Coprifoglia
ZKN_TYPE_542=Pokémon Balia
ZKN_TYPE_543=Pokémon Centipede
ZKN_TYPE_544=Pokémon Rotopede
ZKN_TYPE_545=Pokémon Megapede
ZKN_TYPE_546=Pokémon Cotonpalla
ZKN_TYPE_547=Pokémon Spiffero
ZKN_TYPE_548=Pokémon Radice
ZKN_TYPE_549=Pokémon Fiorfronzolo
ZKN_TYPE_550=Pokémon Irruenza
ZKN_TYPE_551=Pokémon Sabbiadrillo
ZKN_TYPE_552=Pokémon Sabbiadrillo
ZKN_TYPE_553=Pokémon Minaccia
ZKN_TYPE_554=Pokémon Daruma
ZKN_TYPE_555=Pokémon Altefiamme
ZKN_TYPE_556=Pokémon Cactus
ZKN_TYPE_557=Pokémon Pietracasa
ZKN_TYPE_558=Pokémon Scogliocasa
ZKN_TYPE_559=Pokémon Mutapelle
ZKN_TYPE_560=Pokémon Furfante
ZKN_TYPE_561=Pokémon Pseuduccello
ZKN_TYPE_562=Pokémon Fatuanima
ZKN_TYPE_563=Pokémon Bara
ZKN_TYPE_564=Pokémon Ancestruga
ZKN_TYPE_565=Pokémon Ancestruga
ZKN_TYPE_566=Pokémon Paleouccello
ZKN_TYPE_567=Pokémon Paleouccello
ZKN_TYPE_568=Pokémon Spazzatura
ZKN_TYPE_569=Pokémon Discarica
ZKN_TYPE_570=Pokémon Malavolpe
ZKN_TYPE_571=Pokémon Mutevolpe
ZKN_TYPE_572=Pokémon Cincillà
ZKN_TYPE_573=Pokémon Sciarpa
ZKN_TYPE_574=Pokémon Fissosguardo
ZKN_TYPE_575=Pokémon Raggiro
ZKN_TYPE_576=Pokémon Corpoceleste
ZKN_TYPE_577=Pokémon Cellula
ZKN_TYPE_578=Pokémon Scissione
ZKN_TYPE_579=Pokémon Espansione
ZKN_TYPE_580=Pokémon Alacquatico
ZKN_TYPE_581=Pokémon Biancuccello
ZKN_TYPE_582=Pokémon Nevefresca
ZKN_TYPE_583=Pokémon Geloneve
ZKN_TYPE_584=Pokémon Bufera
ZKN_TYPE_585=Pokémon Stagione
ZKN_TYPE_586=Pokémon Stagione
ZKN_TYPE_587=Pokémon Petauro
ZKN_TYPE_588=Pokémon Addentatore
ZKN_TYPE_589=Pokémon Cavaliere
ZKN_TYPE_590=Pokémon Fungo
ZKN_TYPE_591=Pokémon Fungo
ZKN_TYPE_592=Pokémon Fluttuante
ZKN_TYPE_593=Pokémon Fluttuante
ZKN_TYPE_594=Pokémon Assistenza
ZKN_TYPE_595=Pokémon Appiccicante
ZKN_TYPE_596=Pokémon Elettroragno
ZKN_TYPE_597=Pokémon Spinaseme
ZKN_TYPE_598=Pokémon Spinasfere
ZKN_TYPE_599=Pokémon Ingranaggio
ZKN_TYPE_600=Pokémon Ingranaggio
ZKN_TYPE_601=Pokémon Ingranaggio
ZKN_TYPE_602=Pokémon Elettropesce
ZKN_TYPE_603=Pokémon Elettropesce
ZKN_TYPE_604=Pokémon Elettropesce
ZKN_TYPE_605=Pokémon Cervello
ZKN_TYPE_606=Pokémon Cervello
ZKN_TYPE_607=Pokémon Candela
ZKN_TYPE_608=Pokémon Lanterna
ZKN_TYPE_609=Pokémon Attiranime
ZKN_TYPE_610=Pokémon Zanna
ZKN_TYPE_611=Pokémon Mascellascia
ZKN_TYPE_612=Pokémon Mascellascia
