ATKMSG_M_000=(!)
ATKMSG_Y_000=(!)
ATKMSG_E_000=(!)
ATKMSG_N_000=(!)
ATKMSG_M_001=¡{0x0101,0x0000} ha usado Destructor!
ATKMSG_Y_011=¡El {0x0101,0x0000} salvaje ha usado Agarre!
ATKMSG_E_011=¡El {0x0101,0x0000} enemigo ha usado Agarre!
ATKMSG_N_011=¡El {0x0101,0x0000} dominante ha usado Agarre!
ATKMSG_M_012=¡{0x0101,0x0000} ha usado Guillotina!
ATKMSG_Y_012=¡El {0x0101,0x0000} salvaje ha usado Guillotina!
ATKMSG_E_012=¡El {0x0101,0x0000} enemigo ha usado Guillotina!
ATKMSG_N_012=¡El {0x0101,0x0000} dominante ha usado Guillotina!
ATKMSG_M_013=¡{0x0101,0x0000} ha usado Viento Cortante!
ATKMSG_Y_013=¡El {0x0101,0x0000} salvaje ha usado Viento Cortante!
ATKMSG_E_013=¡El {0x0101,0x0000} enemigo ha usado Viento Cortante!
ATKMSG_N_013=¡El {0x0101,0x0000} dominante ha usado Viento Cortante!
ATKMSG_M_014=¡{0x0101,0x0000} ha usado Danza Espada!
ATKMSG_Y_014=¡El {0x0101,0x0000} salvaje ha usado Danza Espada!
ATKMSG_E_014=¡El {0x0101,0x0000} enemigo ha usado Danza Espada!
ATKMSG_N_014=¡El {0x0101,0x0000} dominante ha usado Danza Espada!
ATKMSG_M_015=¡{0x0101,0x0000} ha usado Corte!
ATKMSG_Y_015=¡El {0x0101,0x0000} salvaje ha usado Corte!
ATKMSG_E_015=¡El {0x0101,0x0000} enemigo ha usado Corte!
ATKMSG_N_015=¡El {0x0101,0x0000} dominante ha usado Corte!
ATKMSG_M_016=¡{0x0101,0x0000} ha usado Tornado!
ATKMSG_Y_016=¡El {0x0101,0x0000} salvaje ha usado Tornado!
ATKMSG_E_016=¡El {0x0101,0x0000} enemigo ha usado Tornado!
ATKMSG_N_016=¡El {0x0101,0x0000} dominante ha usado Tornado!
ATKMSG_M_017=¡{0x0101,0x0000} ha usado Ataque Ala!
ATKMSG_Y_017=¡El {0x0101,0x0000} salvaje ha usado Ataque Ala!
ATKMSG_E_017=¡El {0x0101,0x0000} enemigo ha usado Ataque Ala!
ATKMSG_N_017=¡El {0x0101,0x0000} dominante ha usado Ataque Ala!
ATKMSG_M_018=¡{0x0101,0x0000} ha usado Remolino!
ATKMSG_Y_018=¡El {0x0101,0x0000} salvaje ha usado Remolino!
ATKMSG_E_018=¡El {0x0101,0x0000} enemigo ha usado Remolino!
ATKMSG_N_018=¡El {0x0101,0x0000} dominante ha usado Remolino!
ATKMSG_M_019=¡{0x0101,0x0000} ha usado Vuelo!
ATKMSG_Y_019=¡El {0x0101,0x0000} salvaje ha usado Vuelo!
ATKMSG_E_019=¡El {0x0101,0x0000} enemigo ha usado Vuelo!
ATKMSG_N_019=¡El {0x0101,0x0000} dominante ha usado Vuelo!
ATKMSG_M_020=¡{0x0101,0x0000} ha usado Atadura!
ATKMSG_Y_020=¡El {0x0101,0x0000} salvaje ha usado Atadura!
ATKMSG_E_020=¡El {0x0101,0x0000} enemigo ha usado Atadura!
ATKMSG_N_020=¡El {0x0101,0x0000} dominante ha usado Atadura!
ATKMSG_M_021=¡{0x0101,0x0000} ha usado Atizar!
ATKMSG_Y_021=¡El {0x0101,0x0000} salvaje ha usado Atizar!
ATKMSG_E_021=¡El {0x0101,0x0000} enemigo ha usado Atizar!
ATKMSG_N_021=¡El {0x0101,0x0000} dominante ha usado Atizar!
ATKMSG_M_022=¡{0x0101,0x0000} ha usado Látigo Cepa!
ATKMSG_Y_022=¡El {0x0101,0x0000} salvaje ha usado Látigo Cepa!
ATKMSG_E_022=¡El {0x0101,0x0000} enemigo ha usado Látigo Cepa!
ATKMSG_N_022=¡El {0x0101,0x0000} dominante ha usado Látigo Cepa!
ATKMSG_M_023=¡{0x0101,0x0000} ha usado Pisotón!
ATKMSG_Y_023=¡El {0x0101,0x0000} salvaje ha usado Pisotón!
ATKMSG_E_023=¡El {0x0101,0x0000} enemigo ha usado Pisotón!
ATKMSG_N_023=¡El {0x0101,0x0000} dominante ha usado Pisotón!
ATKMSG_M_024=¡{0x0101,0x0000} ha usado Doble Patada!
ATKMSG_Y_024=¡El {0x0101,0x0000} salvaje ha usado Doble Patada!
ATKMSG_E_024=¡El {0x0101,0x0000} enemigo ha usado Doble Patada!
ATKMSG_N_024=¡El {0x0101,0x0000} dominante ha usado Doble Patada!
ATKMSG_M_025=¡{0x0101,0x0000} ha usado Megapatada!
ATKMSG_Y_025=¡El {0x0101,0x0000} salvaje ha usado Megapatada!
ATKMSG_E_025=¡El {0x0101,0x0000} enemigo ha usado Megapatada!
ATKMSG_N_025=¡El {0x0101,0x0000} dominante ha usado Megapatada!
ATKMSG_M_026=¡{0x0101,0x0000} ha usado Patada Salto!
ATKMSG_Y_026=¡El {0x0101,0x0000} salvaje ha usado Patada Salto!
ATKMSG_E_026=¡El {0x0101,0x0000} enemigo ha usado Patada Salto!
ATKMSG_N_026=¡El {0x0101,0x0000} dominante ha usado Patada Salto!
ATKMSG_M_027=¡{0x0101,0x0000} ha usado Patada Giro!
ATKMSG_Y_027=¡El {0x0101,0x0000} salvaje ha usado Patada Giro!
ATKMSG_E_027=¡El {0x0101,0x0000} enemigo ha usado Patada Giro!
ATKMSG_N_027=¡El {0x0101,0x0000} dominante ha usado Patada Giro!
ATKMSG_M_028=¡{0x0101,0x0000} ha usado Ataque Arena!
ATKMSG_Y_028=¡El {0x0101,0x0000} salvaje ha usado Ataque Arena!
ATKMSG_E_028=¡El {0x0101,0x0000} enemigo ha usado Ataque Arena!
ATKMSG_N_028=¡El {0x0101,0x0000} dominante ha usado Ataque Arena!
ATKMSG_M_029=¡{0x0101,0x0000} ha usado Golpe Cabeza!
ATKMSG_Y_029=¡El {0x0101,0x0000} salvaje ha usado Golpe Cabeza!
ATKMSG_E_029=¡El {0x0101,0x0000} enemigo ha usado Golpe Cabeza!
ATKMSG_N_029=¡El {0x0101,0x0000} dominante ha usado Golpe Cabeza!
ATKMSG_M_030=¡{0x0101,0x0000} ha usado Cornada!
ATKMSG_Y_030=¡El {0x0101,0x0000} salvaje ha usado Cornada!
ATKMSG_E_030=¡El {0x0101,0x0000} enemigo ha usado Cornada!
ATKMSG_N_030=¡El {0x0101,0x0000} dominante ha usado Cornada!
ATKMSG_M_031=¡{0x0101,0x0000} ha usado Ataque Furia!
ATKMSG_Y_031=¡El {0x0101,0x0000} salvaje ha usado Ataque Furia!
ATKMSG_E_031=¡El {0x0101,0x0000} enemigo ha usado Ataque Furia!
ATKMSG_N_031=¡El {0x0101,0x0000} dominante ha usado Ataque Furia!
ATKMSG_M_032=¡{0x0101,0x0000} ha usado Perforador!
ATKMSG_Y_032=¡El {0x0101,0x0000} salvaje ha usado Perforador!
ATKMSG_E_032=¡El {0x0101,0x0000} enemigo ha usado Perforador!
ATKMSG_N_032=¡El {0x0101,0x0000} dominante ha usado Perforador!
ATKMSG_M_033=¡{0x0101,0x0000} ha usado Placaje!
ATKMSG_Y_033=¡El {0x0101,0x0000} salvaje ha usado Placaje!
ATKMSG_E_033=¡El {0x0101,0x0000} enemigo ha usado Placaje!
ATKMSG_N_033=¡El {0x0101,0x0000} dominante ha usado Placaje!
ATKMSG_M_034=¡{0x0101,0x0000} ha usado Golpe Cuerpo!
ATKMSG_Y_034=¡El {0x0101,0x0000} salvaje ha usado Golpe Cuerpo!
ATKMSG_E_034=¡El {0x0101,0x0000} enemigo ha usado Golpe Cuerpo!
ATKMSG_N_034=¡El {0x0101,0x0000} dominante ha usado Golpe Cuerpo!
ATKMSG_M_035=¡{0x0101,0x0000} ha usado Constricción!
ATKMSG_Y_035=¡El {0x0101,0x0000} salvaje ha usado Constricción!
ATKMSG_E_035=¡El {0x0101,0x0000} enemigo ha usado Constricción!
ATKMSG_N_035=¡El {0x0101,0x0000} dominante ha usado Constricción!
ATKMSG_M_036=¡{0x0101,0x0000} ha usado Derribo!
ATKMSG_Y_036=¡El {0x0101,0x0000} salvaje ha usado Derribo!
ATKMSG_E_036=¡El {0x0101,0x0000} enemigo ha usado Derribo!
ATKMSG_N_036=¡El {0x0101,0x0000} dominante ha usado Derribo!
ATKMSG_M_037=¡{0x0101,0x0000} ha usado Golpe!
ATKMSG_Y_037=¡El {0x0101,0x0000} salvaje ha usado Golpe!
ATKMSG_E_037=¡El {0x0101,0x0000} enemigo ha usado Golpe!
ATKMSG_N_037=¡El {0x0101,0x0000} dominante ha usado Golpe!
ATKMSG_M_038=¡{0x0101,0x0000} ha usado Doble Filo!
ATKMSG_Y_038=¡El {0x0101,0x0000} salvaje ha usado Doble Filo!
ATKMSG_E_038=¡El {0x0101,0x0000} enemigo ha usado Doble Filo!
ATKMSG_N_038=¡El {0x0101,0x0000} dominante ha usado Doble Filo!
ATKMSG_M_039=¡{0x0101,0x0000} ha usado Látigo!
ATKMSG_Y_039=¡El {0x0101,0x0000} salvaje ha usado Látigo!
ATKMSG_E_039=¡El {0x0101,0x0000} enemigo ha usado Látigo!
ATKMSG_N_039=¡El {0x0101,0x0000} dominante ha usado Látigo!
ATKMSG_M_040=¡{0x0101,0x0000} ha usado Picotazo Ven!
ATKMSG_Y_040=¡El {0x0101,0x0000} salvaje ha usado Picotazo Ven!
ATKMSG_E_040=¡El {0x0101,0x0000} enemigo ha usado Picotazo Ven!
ATKMSG_N_040=¡El {0x0101,0x0000} dominante ha usado Picotazo Ven!
ATKMSG_M_041=¡{0x0101,0x0000} ha usado Doble Ataque!
ATKMSG_Y_041=¡El {0x0101,0x0000} salvaje ha usado Doble Ataque!
ATKMSG_E_041=¡El {0x0101,0x0000} enemigo ha usado Doble Ataque!
ATKMSG_N_041=¡El {0x0101,0x0000} dominante ha usado Doble Ataque!
ATKMSG_M_042=¡{0x0101,0x0000} ha usado Pin Misil!
ATKMSG_Y_042=¡El {0x0101,0x0000} salvaje ha usado Pin Misil!
ATKMSG_E_042=¡El {0x0101,0x0000} enemigo ha usado Pin Misil!
ATKMSG_N_042=¡El {0x0101,0x0000} dominante ha usado Pin Misil!
ATKMSG_M_043=¡{0x0101,0x0000} ha usado Malicioso!
ATKMSG_Y_043=¡El {0x0101,0x0000} salvaje ha usado Malicioso!
ATKMSG_E_043=¡El {0x0101,0x0000} enemigo ha usado Malicioso!
ATKMSG_N_043=¡El {0x0101,0x0000} dominante ha usado Malicioso!
ATKMSG_M_044=¡{0x0101,0x0000} ha usado Mordisco!
ATKMSG_Y_044=¡El {0x0101,0x0000} salvaje ha usado Mordisco!
ATKMSG_E_044=¡El {0x0101,0x0000} enemigo ha usado Mordisco!
ATKMSG_N_044=¡El {0x0101,0x0000} dominante ha usado Mordisco!
ATKMSG_M_045=¡{0x0101,0x0000} ha usado Gruñido!
ATKMSG_Y_045=¡El {0x0101,0x0000} salvaje ha usado Gruñido!
ATKMSG_E_045=¡El {0x0101,0x0000} enemigo ha usado Gruñido!
ATKMSG_N_045=¡El {0x0101,0x0000} dominante ha usado Gruñido!
ATKMSG_M_046=¡{0x0101,0x0000} ha usado Rugido!
ATKMSG_Y_046=¡El {0x0101,0x0000} salvaje ha usado Rugido!
ATKMSG_E_046=¡El {0x0101,0x0000} enemigo ha usado Rugido!
ATKMSG_N_046=¡El {0x0101,0x0000} dominante ha usado Rugido!
ATKMSG_M_047=¡{0x0101,0x0000} ha usado Canto!
ATKMSG_Y_047=¡El {0x0101,0x0000} salvaje ha usado Canto!
ATKMSG_E_047=¡El {0x0101,0x0000} enemigo ha usado Canto!
ATKMSG_N_047=¡El {0x0101,0x0000} dominante ha usado Canto!
ATKMSG_M_048=¡{0x0101,0x0000} ha usado Supersónico!
ATKMSG_Y_048=¡El {0x0101,0x0000} salvaje ha usado Supersónico!
ATKMSG_E_048=¡El {0x0101,0x0000} enemigo ha usado Supersónico!
ATKMSG_N_048=¡El {0x0101,0x0000} dominante ha usado Supersónico!
ATKMSG_M_049=¡{0x0101,0x0000} ha usado Bomba Sónica!
ATKMSG_Y_049=¡El {0x0101,0x0000} salvaje ha usado Bomba Sónica!
ATKMSG_E_049=¡El {0x0101,0x0000} enemigo ha usado Bomba Sónica!
ATKMSG_N_049=¡El {0x0101,0x0000} dominante ha usado Bomba Sónica!
ATKMSG_M_050=¡{0x0101,0x0000} ha usado Anulación!
ATKMSG_Y_050=¡El {0x0101,0x0000} salvaje ha usado Anulación!
ATKMSG_E_050=¡El {0x0101,0x0000} enemigo ha usado Anulación!
ATKMSG_N_050=¡El {0x0101,0x0000} dominante ha usado Anulación!
ATKMSG_M_051=¡{0x0101,0x0000} ha usado Ácido!
ATKMSG_Y_051=¡El {0x0101,0x0000} salvaje ha usado Ácido!
ATKMSG_E_051=¡El {0x0101,0x0000} enemigo ha usado Ácido!
ATKMSG_N_051=¡El {0x0101,0x0000} dominante ha usado Ácido!
ATKMSG_M_052=¡{0x0101,0x0000} ha usado Ascuas!
ATKMSG_Y_052=¡El {0x0101,0x0000} salvaje ha usado Ascuas!
ATKMSG_E_052=¡El {0x0101,0x0000} enemigo ha usado Ascuas!
ATKMSG_N_052=¡El {0x0101,0x0000} dominante ha usado Ascuas!
ATKMSG_M_053=¡{0x0101,0x0000} ha usado Lanzallamas!
ATKMSG_Y_053=¡El {0x0101,0x0000} salvaje ha usado Lanzallamas!
ATKMSG_E_053=¡El {0x0101,0x0000} enemigo ha usado Lanzallamas!
ATKMSG_N_053=¡El {0x0101,0x0000} dominante ha usado Lanzallamas!
ATKMSG_M_054=¡{0x0101,0x0000} ha usado Neblina!
ATKMSG_Y_054=¡El {0x0101,0x0000} salvaje ha usado Neblina!
ATKMSG_E_054=¡El {0x0101,0x0000} enemigo ha usado Neblina!
ATKMSG_N_054=¡El {0x0101,0x0000} dominante ha usado Neblina!
ATKMSG_M_055=¡{0x0101,0x0000} ha usado Pistola Agua!
ATKMSG_Y_055=¡El {0x0101,0x0000} salvaje ha usado Pistola Agua!
ATKMSG_E_055=¡El {0x0101,0x0000} enemigo ha usado Pistola Agua!
ATKMSG_N_055=¡El {0x0101,0x0000} dominante ha usado Pistola Agua!
ATKMSG_M_056=¡{0x0101,0x0000} ha usado Hidrobomba!
ATKMSG_Y_056=¡El {0x0101,0x0000} salvaje ha usado Hidrobomba!
ATKMSG_E_056=¡El {0x0101,0x0000} enemigo ha usado Hidrobomba!
ATKMSG_N_056=¡El {0x0101,0x0000} dominante ha usado Hidrobomba!
ATKMSG_M_057=¡{0x0101,0x0000} ha usado Surf!
ATKMSG_Y_057=¡El {0x0101,0x0000} salvaje ha usado Surf!
ATKMSG_E_057=¡El {0x0101,0x0000} enemigo ha usado Surf!
ATKMSG_N_057=¡El {0x0101,0x0000} dominante ha usado Surf!
ATKMSG_M_058=¡{0x0101,0x0000} ha usado Rayo Hielo!
ATKMSG_Y_058=¡El {0x0101,0x0000} salvaje ha usado Rayo Hielo!
ATKMSG_E_058=¡El {0x0101,0x0000} enemigo ha usado Rayo Hielo!
ATKMSG_N_058=¡El {0x0101,0x0000} dominante ha usado Rayo Hielo!
ATKMSG_M_059=¡{0x0101,0x0000} ha usado Ventisca!
ATKMSG_Y_059=¡El {0x0101,0x0000} salvaje ha usado Ventisca!
ATKMSG_E_059=¡El {0x0101,0x0000} enemigo ha usado Ventisca!
ATKMSG_N_059=¡El {0x0101,0x0000} dominante ha usado Ventisca!
ATKMSG_M_060=¡{0x0101,0x0000} ha usado Psicorrayo!
ATKMSG_Y_060=¡El {0x0101,0x0000} salvaje ha usado Psicorrayo!
ATKMSG_E_060=¡El {0x0101,0x0000} enemigo ha usado Psicorrayo!
ATKMSG_N_060=¡El {0x0101,0x0000} dominante ha usado Psicorrayo!
ATKMSG_M_061=¡{0x0101,0x0000} ha usado Rayo Burbuja!
ATKMSG_Y_061=¡El {0x0101,0x0000} salvaje ha usado Rayo Burbuja!
ATKMSG_E_061=¡El {0x0101,0x0000} enemigo ha usado Rayo Burbuja!
ATKMSG_N_061=¡El {0x0101,0x0000} dominante ha usado Rayo Burbuja!
ATKMSG_M_062=¡{0x0101,0x0000} ha usado Rayo Aurora!
ATKMSG_Y_062=¡El {0x0101,0x0000} salvaje ha usado Rayo Aurora!
ATKMSG_E_062=¡El {0x0101,0x0000} enemigo ha usado Rayo Aurora!
ATKMSG_N_062=¡El {0x0101,0x0000} dominante ha usado Rayo Aurora!
ATKMSG_M_063=¡{0x0101,0x0000} ha usado Hiperrayo!
ATKMSG_Y_063=¡El {0x0101,0x0000} salvaje ha usado Hiperrayo!
ATKMSG_E_063=¡El {0x0101,0x0000} enemigo ha usado Hiperrayo!
ATKMSG_N_063=¡El {0x0101,0x0000} dominante ha usado Hiperrayo!
ATKMSG_M_064=¡{0x0101,0x0000} ha usado Picotazo!
ATKMSG_Y_064=¡El {0x0101,0x0000} salvaje ha usado Picotazo!
ATKMSG_E_064=¡El {0x0101,0x0000} enemigo ha usado Picotazo!
ATKMSG_N_064=¡El {0x0101,0x0000} dominante ha usado Picotazo!
ATKMSG_M_065=¡{0x0101,0x0000} ha usado Pico Taladro!
ATKMSG_Y_065=¡El {0x0101,0x0000} salvaje ha usado Pico Taladro!
ATKMSG_E_065=¡El {0x0101,0x0000} enemigo ha usado Pico Taladro!
ATKMSG_N_065=¡El {0x0101,0x0000} dominante ha usado Pico Taladro!
ATKMSG_M_066=¡{0x0101,0x0000} ha usado Sumisión!
ATKMSG_Y_066=¡El {0x0101,0x0000} salvaje ha usado Sumisión!
ATKMSG_E_066=¡El {0x0101,0x0000} enemigo ha usado Sumisión!
ATKMSG_N_066=¡El {0x0101,0x0000} dominante ha usado Sumisión!
ATKMSG_M_067=¡{0x0101,0x0000} ha usado Patada Baja!
ATKMSG_Y_067=¡El {0x0101,0x0000} salvaje ha usado Patada Baja!
ATKMSG_E_067=¡El {0x0101,0x0000} enemigo ha usado Patada Baja!
ATKMSG_N_067=¡El {0x0101,0x0000} dominante ha usado Patada Baja!
ATKMSG_M_068=¡{0x0101,0x0000} ha usado Contraataque!
ATKMSG_Y_068=¡El {0x0101,0x0000} salvaje ha usado Contraataque!
ATKMSG_E_068=¡El {0x0101,0x0000} enemigo ha usado Contraataque!
ATKMSG_N_068=¡El {0x0101,0x0000} dominante ha usado Contraataque!
ATKMSG_M_069=¡{0x0101,0x0000} ha usado Mov. Sísmico!
ATKMSG_Y_069=¡El {0x0101,0x0000} salvaje ha usado Mov. Sísmico!
ATKMSG_E_069=¡El {0x0101,0x0000} enemigo ha usado Mov. Sísmico!
ATKMSG_N_069=¡El {0x0101,0x0000} dominante ha usado Mov. Sísmico!
ATKMSG_M_070=¡{0x0101,0x0000} ha usado Fuerza!
ATKMSG_Y_070=¡El {0x0101,0x0000} salvaje ha usado Fuerza!
ATKMSG_E_070=¡El {0x0101,0x0000} enemigo ha usado Fuerza!
ATKMSG_N_070=¡El {0x0101,0x0000} dominante ha usado Fuerza!
ATKMSG_M_071=¡{0x0101,0x0000} ha usado Absorber!
ATKMSG_Y_071=¡El {0x0101,0x0000} salvaje ha usado Absorber!
ATKMSG_E_071=¡El {0x0101,0x0000} enemigo ha usado Absorber!
ATKMSG_N_071=¡El {0x0101,0x0000} dominante ha usado Absorber!
ATKMSG_M_072=¡{0x0101,0x0000} ha usado Megaagotar!
ATKMSG_Y_072=¡El {0x0101,0x0000} salvaje ha usado Megaagotar!
ATKMSG_E_072=¡El {0x0101,0x0000} enemigo ha usado Megaagotar!
ATKMSG_N_072=¡El {0x0101,0x0000} dominante ha usado Megaagotar!
ATKMSG_M_073=¡{0x0101,0x0000} ha usado Drenadoras!
ATKMSG_Y_073=¡El {0x0101,0x0000} salvaje ha usado Drenadoras!
ATKMSG_E_073=¡El {0x0101,0x0000} enemigo ha usado Drenadoras!
ATKMSG_N_073=¡El {0x0101,0x0000} dominante ha usado Drenadoras!
ATKMSG_M_074=¡{0x0101,0x0000} ha usado Desarrollo!
ATKMSG_Y_074=¡El {0x0101,0x0000} salvaje ha usado Desarrollo!
ATKMSG_E_074=¡El {0x0101,0x0000} enemigo ha usado Desarrollo!
ATKMSG_N_074=¡El {0x0101,0x0000} dominante ha usado Desarrollo!
ATKMSG_M_075=¡{0x0101,0x0000} ha usado Hoja Afilada!
ATKMSG_Y_075=¡El {0x0101,0x0000} salvaje ha usado Hoja Afilada!
ATKMSG_E_075=¡El {0x0101,0x0000} enemigo ha usado Hoja Afilada!
ATKMSG_N_075=¡El {0x0101,0x0000} dominante ha usado Hoja Afilada!
ATKMSG_M_076=¡{0x0101,0x0000} ha usado Rayo Solar!
ATKMSG_Y_076=¡El {0x0101,0x0000} salvaje ha usado Rayo Solar!
ATKMSG_E_076=¡El {0x0101,0x0000} enemigo ha usado Rayo Solar!
ATKMSG_N_076=¡El {0x0101,0x0000} dominante ha usado Rayo Solar!
ATKMSG_M_077=¡{0x0101,0x0000} ha usado Polvo Veneno!
ATKMSG_Y_077=¡El {0x0101,0x0000} salvaje ha usado Polvo Veneno!
ATKMSG_E_077=¡El {0x0101,0x0000} enemigo ha usado Polvo Veneno!
ATKMSG_N_077=¡El {0x0101,0x0000} dominante ha usado Polvo Veneno!
ATKMSG_M_078=¡{0x0101,0x0000} ha usado Paralizador!
ATKMSG_Y_078=¡El {0x0101,0x0000} salvaje ha usado Paralizador!
ATKMSG_E_078=¡El {0x0101,0x0000} enemigo ha usado Paralizador!
ATKMSG_N_078=¡El {0x0101,0x0000} dominante ha usado Paralizador!
ATKMSG_M_079=¡{0x0101,0x0000} ha usado Somnífero!
ATKMSG_Y_079=¡El {0x0101,0x0000} salvaje ha usado Somnífero!
ATKMSG_E_079=¡El {0x0101,0x0000} enemigo ha usado Somnífero!
ATKMSG_N_079=¡El {0x0101,0x0000} dominante ha usado Somnífero!
ATKMSG_M_080=¡{0x0101,0x0000} ha usado Danza Pétalo!
ATKMSG_Y_080=¡El {0x0101,0x0000} salvaje ha usado Danza Pétalo!
ATKMSG_E_080=¡El {0x0101,0x0000} enemigo ha usado Danza Pétalo!
ATKMSG_N_080=¡El {0x0101,0x0000} dominante ha usado Danza Pétalo!
ATKMSG_M_081=¡{0x0101,0x0000} ha usado Disparo Demora!
ATKMSG_Y_081=¡El {0x0101,0x0000} salvaje ha usado Disparo Demora!
ATKMSG_E_081=¡El {0x0101,0x0000} enemigo ha usado Disparo Demora!
ATKMSG_N_081=¡El {0x0101,0x0000} dominante ha usado Disparo Demora!
ATKMSG_M_082=¡{0x0101,0x0000} ha usado Furia Dragón!
ATKMSG_Y_082=¡El {0x0101,0x0000} salvaje ha usado Furia Dragón!
ATKMSG_E_082=¡El {0x0101,0x0000} enemigo ha usado Furia Dragón!
ATKMSG_N_082=¡El {0x0101,0x0000} dominante ha usado Furia Dragón!
ATKMSG_M_083=¡{0x0101,0x0000} ha usado Giro Fuego!
ATKMSG_Y_083=¡El {0x0101,0x0000} salvaje ha usado Giro Fuego!
ATKMSG_E_083=¡El {0x0101,0x0000} enemigo ha usado Giro Fuego!
ATKMSG_N_083=¡El {0x0101,0x0000} dominante ha usado Giro Fuego!
ATKMSG_M_084=¡{0x0101,0x0000} ha usado Impactrueno!
ATKMSG_Y_084=¡El {0x0101,0x0000} salvaje ha usado Impactrueno!
ATKMSG_E_084=¡El {0x0101,0x0000} enemigo ha usado Impactrueno!
ATKMSG_N_084=¡El {0x0101,0x0000} dominante ha usado Impactrueno!
ATKMSG_M_085=¡{0x0101,0x0000} ha usado Rayo!
ATKMSG_Y_085=¡El {0x0101,0x0000} salvaje ha usado Rayo!
ATKMSG_E_085=¡El {0x0101,0x0000} enemigo ha usado Rayo!
ATKMSG_N_085=¡El {0x0101,0x0000} dominante ha usado Rayo!
ATKMSG_M_086=¡{0x0101,0x0000} ha usado Onda Trueno!
ATKMSG_Y_086=¡El {0x0101,0x0000} salvaje ha usado Onda Trueno!
ATKMSG_E_086=¡El {0x0101,0x0000} enemigo ha usado Onda Trueno!
ATKMSG_N_086=¡El {0x0101,0x0000} dominante ha usado Onda Trueno!
ATKMSG_M_087=¡{0x0101,0x0000} ha usado Trueno!
ATKMSG_Y_087=¡El {0x0101,0x0000} salvaje ha usado Trueno!
ATKMSG_E_087=¡El {0x0101,0x0000} enemigo ha usado Trueno!
ATKMSG_N_087=¡El {0x0101,0x0000} dominante ha usado Trueno!
ATKMSG_M_088=¡{0x0101,0x0000} ha usado Lanzarrocas!
