ZKN_HEIGHT_000_000=???,? m
ZKN_HEIGHT_079_000=1,2 m
ZKN_HEIGHT_080_000=1,6 m
ZKN_HEIGHT_081_000=0,3 m
ZKN_HEIGHT_082_000=1,0 m
ZKN_HEIGHT_083_000=0,8 m
ZKN_HEIGHT_084_000=1,4 m
ZKN_HEIGHT_085_000=1,8 m
ZKN_HEIGHT_086_000=1,1 m
ZKN_HEIGHT_087_000=1,7 m
ZKN_HEIGHT_088_000=0,9 m
ZKN_HEIGHT_089_000=1,2 m
ZKN_HEIGHT_090_000=0,3 m
ZKN_HEIGHT_091_000=1,5 m
ZKN_HEIGHT_092_000=1,3 m
ZKN_HEIGHT_093_000=1,6 m
ZKN_HEIGHT_094_000=1,5 m
ZKN_HEIGHT_095_000=8,8 m
ZKN_HEIGHT_096_000=1,0 m
ZKN_HEIGHT_097_000=1,6 m
ZKN_HEIGHT_098_000=0,4 m
ZKN_HEIGHT_099_000=1,3 m
ZKN_HEIGHT_100_000=0,5 m
ZKN_HEIGHT_101_000=1,2 m
ZKN_HEIGHT_102_000=0,4 m
ZKN_HEIGHT_103_000=2,0 m
ZKN_HEIGHT_104_000=0,4 m
ZKN_HEIGHT_105_000=1,0 m
ZKN_HEIGHT_106_000=1,5 m
ZKN_HEIGHT_107_000=1,4 m
ZKN_HEIGHT_108_000=1,2 m
ZKN_HEIGHT_109_000=0,6 m
ZKN_HEIGHT_110_000=1,2 m
ZKN_HEIGHT_111_000=1,0 m
ZKN_HEIGHT_112_000=1,9 m
ZKN_HEIGHT_113_000=1,1 m
ZKN_HEIGHT_114_000=1,0 m
ZKN_HEIGHT_115_000=2,2 m
ZKN_HEIGHT_116_000=0,4 m
ZKN_HEIGHT_117_000=1,2 m
ZKN_HEIGHT_118_000=0,6 m
ZKN_HEIGHT_119_000=1,3 m
ZKN_HEIGHT_120_000=0,8 m
ZKN_HEIGHT_121_000=1,1 m
ZKN_HEIGHT_122_000=1,3 m
ZKN_HEIGHT_123_000=1,5 m
ZKN_HEIGHT_124_000=1,4 m
ZKN_HEIGHT_125_000=1,1 m
ZKN_HEIGHT_126_000=1,3 m
ZKN_HEIGHT_127_000=1,5 m
ZKN_HEIGHT_128_000=1,4 m
ZKN_HEIGHT_129_000=0,9 m
ZKN_HEIGHT_130_000=6,5 m
ZKN_HEIGHT_131_000=2,5 m
ZKN_HEIGHT_132_000=0,3 m
ZKN_HEIGHT_133_000=0,3 m
ZKN_HEIGHT_134_000=1,0 m
ZKN_HEIGHT_135_000=0,8 m
ZKN_HEIGHT_136_000=0,9 m
ZKN_HEIGHT_137_000=0,8 m
ZKN_HEIGHT_138_000=0,4 m
ZKN_HEIGHT_139_000=1,0 m
ZKN_HEIGHT_140_000=0,5 m
ZKN_HEIGHT_141_000=1,3 m
ZKN_HEIGHT_142_000=1,8 m
ZKN_HEIGHT_143_000=2,1 m
ZKN_HEIGHT_144_000=1,7 m
ZKN_HEIGHT_145_000=1,6 m
ZKN_HEIGHT_146_000=2,0 m
ZKN_HEIGHT_147_000=1,8 m
ZKN_HEIGHT_148_000=4,0 m
ZKN_HEIGHT_149_000=2,2 m
ZKN_HEIGHT_150_000=2,0 m
ZKN_HEIGHT_151_000=0,4 m
ZKN_HEIGHT_152_000=0,9 m
ZKN_HEIGHT_153_000=1,2 m
ZKN_HEIGHT_154_000=1,8 m
ZKN_HEIGHT_155_000=0,5 m
ZKN_HEIGHT_156_000=0,9 m
ZKN_HEIGHT_157_000=1,7 m
ZKN_HEIGHT_158_000=0,6 m
ZKN_HEIGHT_159_000=1,1 m
ZKN_HEIGHT_160_000=2,3 m
ZKN_HEIGHT_161_000=0,8 m
ZKN_HEIGHT_162_000=1,8 m
ZKN_HEIGHT_163_000=0,7 m
ZKN_HEIGHT_164_000=1,6 m
ZKN_HEIGHT_165_000=1,0 m
ZKN_HEIGHT_166_000=1,4 m
ZKN_HEIGHT_167_000=0,5 m
ZKN_HEIGHT_168_000=1,1 m
ZKN_HEIGHT_169_000=1,8 m
ZKN_HEIGHT_170_000=0,5 m
ZKN_HEIGHT_171_000=1,2 m
ZKN_HEIGHT_172_000=0,3 m
ZKN_HEIGHT_173_000=0,3 m
ZKN_HEIGHT_174_000=0,3 m
ZKN_HEIGHT_175_000=0,3 m
ZKN_HEIGHT_176_000=0,6 m
ZKN_HEIGHT_177_000=0,2 m
ZKN_HEIGHT_178_000=1,5 m
ZKN_HEIGHT_179_000=0,6 m
ZKN_HEIGHT_180_000=0,8 m
ZKN_HEIGHT_181_000=1,4 m
ZKN_HEIGHT_182_000=0,4 m
ZKN_HEIGHT_183_000=0,4 m
ZKN_HEIGHT_184_000=0,8 m
ZKN_HEIGHT_185_000=1,2 m
ZKN_HEIGHT_186_000=1,1 m
ZKN_HEIGHT_187_000=0,4 m
ZKN_HEIGHT_188_000=0,6 m
ZKN_HEIGHT_189_000=0,8 m
ZKN_HEIGHT_190_000=0,8 m
ZKN_HEIGHT_191_000=0,3 m
ZKN_HEIGHT_192_000=0,8 m
ZKN_HEIGHT_193_000=1,2 m
ZKN_HEIGHT_194_000=0,4 m
ZKN_HEIGHT_195_000=1,4 m
ZKN_HEIGHT_196_000=0,9 m
ZKN_HEIGHT_197_000=1,0 m
ZKN_HEIGHT_198_000=0,5 m
ZKN_HEIGHT_199_000=2,0 m
ZKN_HEIGHT_200_000=0,7 m
ZKN_HEIGHT_201_000=0,5 m
ZKN_HEIGHT_202_000=1,3 m
ZKN_HEIGHT_203_000=1,5 m
ZKN_HEIGHT_204_000=0,6 m
ZKN_HEIGHT_205_000=1,2 m
ZKN_HEIGHT_206_000=1,5 m
ZKN_HEIGHT_207_000=1,1 m
ZKN_HEIGHT_208_000=9,2 m
ZKN_HEIGHT_209_000=0,6 m
ZKN_HEIGHT_210_000=1,4 m
ZKN_HEIGHT_211_000=0,5 m
ZKN_HEIGHT_212_000=1,8 m
ZKN_HEIGHT_213_000=0,6 m
ZKN_HEIGHT_214_000=1,5 m
ZKN_HEIGHT_215_000=0,9 m
ZKN_HEIGHT_216_000=0,6 m
ZKN_HEIGHT_217_000=1,8 m
ZKN_HEIGHT_218_000=0,7 m
ZKN_HEIGHT_219_000=0,8 m
ZKN_HEIGHT_220_000=0,4 m
ZKN_HEIGHT_221_000=1,1 m
ZKN_HEIGHT_222_000=0,6 m
ZKN_HEIGHT_223_000=0,6 m
ZKN_HEIGHT_224_000=0,9 m
ZKN_HEIGHT_225_000=0,9 m
ZKN_HEIGHT_226_000=2,1 m
ZKN_HEIGHT_227_000=1,7 m
ZKN_HEIGHT_228_000=0,6 m
ZKN_HEIGHT_229_000=1,4 m
ZKN_HEIGHT_230_000=1,8 m
ZKN_HEIGHT_231_000=0,5 m
ZKN_HEIGHT_232_000=1,1 m
ZKN_HEIGHT_233_000=0,6 m
ZKN_HEIGHT_234_000=1,4 m
ZKN_HEIGHT_235_000=1,2 m
ZKN_HEIGHT_236_000=0,7 m
ZKN_HEIGHT_237_000=1,4 m
ZKN_HEIGHT_238_000=0,4 m
ZKN_HEIGHT_239_000=0,6 m
ZKN_HEIGHT_240_000=0,7 m
ZKN_HEIGHT_241_000=1,2 m
ZKN_HEIGHT_242_000=1,5 m
ZKN_HEIGHT_243_000=1,9 m
ZKN_HEIGHT_244_000=2,1 m
ZKN_HEIGHT_245_000=2,0 m
ZKN_HEIGHT_246_000=0,6 m
ZKN_HEIGHT_247_000=1,2 m
ZKN_HEIGHT_248_000=2,0 m
ZKN_HEIGHT_249_000=5,2 m
ZKN_HEIGHT_250_000=3,8 m
ZKN_HEIGHT_251_000=0,6 m
ZKN_HEIGHT_252_000=0,5 m
ZKN_HEIGHT_253_000=0,9 m
ZKN_HEIGHT_254_000=1,7 m
ZKN_HEIGHT_255_000=0,4 m
ZKN_HEIGHT_256_000=0,9 m
ZKN_HEIGHT_257_000=1,9 m
ZKN_HEIGHT_258_000=0,4 m
ZKN_HEIGHT_259_000=0,7 m
ZKN_HEIGHT_260_000=1,5 m
ZKN_HEIGHT_261_000=0,5 m
ZKN_HEIGHT_262_000=1,0 m
ZKN_HEIGHT_263_000=0,4 m
ZKN_HEIGHT_264_000=0,5 m
ZKN_HEIGHT_265_000=0,3 m
ZKN_HEIGHT_266_000=0,6 m
ZKN_HEIGHT_267_000=1,0 m
ZKN_HEIGHT_268_000=0,7 m
ZKN_HEIGHT_269_000=1,2 m
ZKN_HEIGHT_270_000=0,5 m
ZKN_HEIGHT_271_000=1,2 m
ZKN_HEIGHT_272_000=1,5 m
ZKN_HEIGHT_273_000=0,5 m
ZKN_HEIGHT_274_000=1,0 m
ZKN_HEIGHT_275_000=1,3 m
ZKN_HEIGHT_276_000=0,3 m
ZKN_HEIGHT_277_000=0,7 m
ZKN_HEIGHT_278_000=0,6 m
ZKN_HEIGHT_279_000=1,2 m
ZKN_HEIGHT_280_000=0,4 m
ZKN_HEIGHT_281_000=0,8 m
ZKN_HEIGHT_282_000=1,6 m
ZKN_HEIGHT_283_000=0,5 m
ZKN_HEIGHT_284_000=0,8 m
ZKN_HEIGHT_285_000=0,4 m
ZKN_HEIGHT_286_000=1,2 m
ZKN_HEIGHT_287_000=0,8 m
ZKN_HEIGHT_288_000=1,4 m
ZKN_HEIGHT_289_000=2,0 m
ZKN_HEIGHT_290_000=0,5 m
ZKN_HEIGHT_291_000=0,8 m
ZKN_HEIGHT_292_000=0,8 m
ZKN_HEIGHT_293_000=0,6 m
ZKN_HEIGHT_294_000=1,0 m
ZKN_HEIGHT_295_000=1,5 m
ZKN_HEIGHT_296_000=1,0 m
ZKN_HEIGHT_297_000=2,3 m
ZKN_HEIGHT_298_000=0,2 m
ZKN_HEIGHT_299_000=1,0 m
ZKN_HEIGHT_300_000=0,6 m
ZKN_HEIGHT_301_000=1,1 m
ZKN_HEIGHT_302_000=0,5 m
ZKN_HEIGHT_303_000=0,6 m
ZKN_HEIGHT_304_000=0,4 m
ZKN_HEIGHT_305_000=0,9 m
ZKN_HEIGHT_306_000=2,1 m
ZKN_HEIGHT_307_000=0,6 m
ZKN_HEIGHT_308_000=1,3 m
ZKN_HEIGHT_309_000=0,6 m
ZKN_HEIGHT_310_000=1,5 m
ZKN_HEIGHT_311_000=0,4 m
ZKN_HEIGHT_312_000=0,4 m
ZKN_HEIGHT_313_000=0,7 m
ZKN_HEIGHT_314_000=0,6 m
ZKN_HEIGHT_315_000=0,3 m
ZKN_HEIGHT_316_000=0,4 m
ZKN_HEIGHT_317_000=1,7 m
ZKN_HEIGHT_318_000=0,8 m
ZKN_HEIGHT_319_000=1,8 m
ZKN_HEIGHT_320_000=2,0 m
ZKN_HEIGHT_321_000=14,5 m
ZKN_HEIGHT_322_000=0,7 m
ZKN_HEIGHT_323_000=1,9 m
ZKN_HEIGHT_324_000=0,5 m
ZKN_HEIGHT_325_000=0,7 m
ZKN_HEIGHT_326_000=0,9 m
ZKN_HEIGHT_327_000=1,1 m
ZKN_HEIGHT_328_000=0,7 m
ZKN_HEIGHT_329_000=1,1 m
ZKN_HEIGHT_330_000=2,0 m
ZKN_HEIGHT_331_000=0,4 m
ZKN_HEIGHT_332_000=1,3 m
ZKN_HEIGHT_333_000=0,4 m
ZKN_HEIGHT_334_000=1,1 m
ZKN_HEIGHT_335_000=1,3 m
ZKN_HEIGHT_336_000=2,7 m
ZKN_HEIGHT_337_000=1,0 m
ZKN_HEIGHT_338_000=1,2 m
ZKN_HEIGHT_339_000=0,4 m
ZKN_HEIGHT_340_000=0,9 m
ZKN_HEIGHT_341_000=0,6 m
ZKN_HEIGHT_342_000=1,1 m
ZKN_HEIGHT_343_000=0,5 m
ZKN_HEIGHT_344_000=1,5 m
ZKN_HEIGHT_345_000=1,0 m
ZKN_HEIGHT_346_000=1,5 m
ZKN_HEIGHT_347_000=0,7 m
ZKN_HEIGHT_348_000=1,5 m
ZKN_HEIGHT_349_000=0,6 m
ZKN_HEIGHT_350_000=6,2 m
ZKN_HEIGHT_351_000=0,3 m
ZKN_HEIGHT_352_000=1,0 m
ZKN_HEIGHT_353_000=0,6 m
ZKN_HEIGHT_354_000=1,1 m
ZKN_HEIGHT_355_000=0,8 m
ZKN_HEIGHT_356_000=1,6 m
ZKN_HEIGHT_357_000=2,0 m
ZKN_HEIGHT_358_000=0,6 m
ZKN_HEIGHT_359_000=1,2 m
ZKN_HEIGHT_360_000=0,6 m
ZKN_HEIGHT_361_000=0,7 m
ZKN_HEIGHT_362_000=1,5 m
ZKN_HEIGHT_363_000=0,8 m
ZKN_HEIGHT_364_000=1,1 m
ZKN_HEIGHT_365_000=1,4 m
ZKN_HEIGHT_366_000=0,4 m
ZKN_HEIGHT_367_000=1,7 m
ZKN_HEIGHT_368_000=1,8 m
ZKN_HEIGHT_369_000=1,0 m
ZKN_HEIGHT_370_000=0,6 m
ZKN_HEIGHT_371_000=0,6 m
ZKN_HEIGHT_372_000=1,1 m
ZKN_HEIGHT_373_000=1,5 m
ZKN_HEIGHT_374_000=0,6 m
ZKN_HEIGHT_375_000=1,2 m
ZKN_HEIGHT_376_000=1,6 m
ZKN_HEIGHT_377_000=1,7 m
ZKN_HEIGHT_378_000=1,8 m
ZKN_HEIGHT_379_000=1,9 m
ZKN_HEIGHT_380_000=1,4 m
ZKN_HEIGHT_381_000=2,0 m
ZKN_HEIGHT_382_000=4,5 m
ZKN_HEIGHT_383_000=3,5 m
ZKN_HEIGHT_384_000=7,0 m
ZKN_HEIGHT_385_000=0,3 m
ZKN_HEIGHT_386_000=1,7 m
ZKN_HEIGHT_387_000=0,4 m
ZKN_HEIGHT_388_000=1,1 m
ZKN_HEIGHT_389_000=2,2 m
ZKN_HEIGHT_390_000=0,5 m
ZKN_HEIGHT_391_000=0,9 m
ZKN_HEIGHT_392_000=1,2 m
ZKN_HEIGHT_393_000=0,4 m
ZKN_HEIGHT_394_000=0,8 m
ZKN_HEIGHT_395_000=1,7 m
ZKN_HEIGHT_396_000=0,3 m
ZKN_HEIGHT_397_000=0,6 m
ZKN_HEIGHT_398_000=1,2 m
ZKN_HEIGHT_399_000=0,5 m
ZKN_HEIGHT_400_000=1,0 m
ZKN_HEIGHT_401_000=0,3 m
ZKN_HEIGHT_402_000=1,0 m
ZKN_HEIGHT_403_000=0,5 m
ZKN_HEIGHT_404_000=0,9 m
ZKN_HEIGHT_405_000=1,4 m
ZKN_HEIGHT_406_000=0,2 m
ZKN_HEIGHT_407_000=0,9 m
ZKN_HEIGHT_408_000=0,9 m
ZKN_HEIGHT_409_000=1,6 m
ZKN_HEIGHT_410_000=0,5 m
ZKN_HEIGHT_411_000=1,3 m
ZKN_HEIGHT_412_000=0,2 m
ZKN_HEIGHT_413_000=0,5 m
ZKN_HEIGHT_414_000=0,9 m
ZKN_HEIGHT_415_000=0,3 m
ZKN_HEIGHT_416_000=1,2 m
ZKN_HEIGHT_417_000=0,4 m
ZKN_HEIGHT_418_000=0,7 m
ZKN_HEIGHT_419_000=1,1 m
ZKN_HEIGHT_420_000=0,4 m
ZKN_HEIGHT_421_000=0,5 m
ZKN_HEIGHT_422_000=0,3 m
ZKN_HEIGHT_423_000=0,9 m
ZKN_HEIGHT_424_000=1,2 m
ZKN_HEIGHT_425_000=0,4 m
ZKN_HEIGHT_426_000=1,2 m
ZKN_HEIGHT_427_000=0,4 m
ZKN_HEIGHT_428_000=1,2 m
ZKN_HEIGHT_429_000=0,9 m
ZKN_HEIGHT_430_000=0,9 m
ZKN_HEIGHT_431_000=0,5 m
ZKN_HEIGHT_432_000=1,0 m
ZKN_HEIGHT_433_000=0,2 m
ZKN_HEIGHT_434_000=0,4 m
ZKN_HEIGHT_435_000=1,0 m
ZKN_HEIGHT_436_000=0,5 m
ZKN_HEIGHT_437_000=1,3 m
ZKN_HEIGHT_438_000=0,5 m
ZKN_HEIGHT_439_000=0,6 m
ZKN_HEIGHT_440_000=0,6 m
ZKN_HEIGHT_441_000=0,5 m
ZKN_HEIGHT_442_000=1,0 m
ZKN_HEIGHT_443_000=0,7 m
ZKN_HEIGHT_444_000=1,4 m
ZKN_HEIGHT_445_000=1,9 m
ZKN_HEIGHT_446_000=0,6 m
ZKN_HEIGHT_447_000=0,7 m
ZKN_HEIGHT_448_000=1,2 m
ZKN_HEIGHT_449_000=0,8 m
ZKN_HEIGHT_450_000=2,0 m
ZKN_HEIGHT_451_000=0,8 m
ZKN_HEIGHT_452_000=1,3 m
ZKN_HEIGHT_453_000=0,7 m
ZKN_HEIGHT_454_000=1,3 m
ZKN_HEIGHT_455_000=1,4 m
ZKN_HEIGHT_456_000=0,4 m
ZKN_HEIGHT_457_000=1,2 m
ZKN_HEIGHT_458_000=1,0 m
ZKN_HEIGHT_459_000=1,0 m
ZKN_HEIGHT_460_000=2,2 m
ZKN_HEIGHT_461_000=1,1 m
ZKN_HEIGHT_462_000=1,2 m
ZKN_HEIGHT_463_000=1,7 m
ZKN_HEIGHT_464_000=2,4 m
ZKN_HEIGHT_465_000=2,0 m
ZKN_HEIGHT_466_000=1,8 m
ZKN_HEIGHT_467_000=1,6 m
ZKN_HEIGHT_468_000=1,5 m
ZKN_HEIGHT_469_000=1,9 m
ZKN_HEIGHT_470_000=1,0 m
ZKN_HEIGHT_471_000=0,8 m
ZKN_HEIGHT_472_000=2,0 m
ZKN_HEIGHT_473_000=2,5 m
ZKN_HEIGHT_474_000=0,9 m
ZKN_HEIGHT_475_000=1,6 m
ZKN_HEIGHT_476_000=1,4 m
ZKN_HEIGHT_477_000=2,2 m
ZKN_HEIGHT_478_000=1,3 m
ZKN_HEIGHT_479_000=0,3 m
ZKN_HEIGHT_480_000=0,3 m
ZKN_HEIGHT_481_000=0,3 m
ZKN_HEIGHT_482_000=0,3 m
ZKN_HEIGHT_483_000=5,4 m
ZKN_HEIGHT_484_000=4,2 m
ZKN_HEIGHT_485_000=1,7 m
ZKN_HEIGHT_486_000=3,7 m
ZKN_HEIGHT_487_000=4,5 m
ZKN_HEIGHT_488_000=1,5 m
ZKN_HEIGHT_489_000=0,4 m
ZKN_HEIGHT_490_000=0,3 m
ZKN_HEIGHT_491_000=1,5 m
ZKN_HEIGHT_492_000=0,2 m
ZKN_HEIGHT_493_000=3,2 m
ZKN_HEIGHT_494_000=0,4 m
ZKN_HEIGHT_495_000=0,6 m
ZKN_HEIGHT_496_000=0,8 m
ZKN_HEIGHT_497_000=3,3 m
ZKN_HEIGHT_498_000=0,5 m
ZKN_HEIGHT_499_000=1,0 m
ZKN_HEIGHT_500_000=1,6 m
ZKN_HEIGHT_501_000=0,5 m
ZKN_HEIGHT_502_000=0,8 m
ZKN_HEIGHT_503_000=1,5 m
ZKN_HEIGHT_504_000=0,5 m
ZKN_HEIGHT_505_000=1,1 m
ZKN_HEIGHT_506_000=0,4 m
ZKN_HEIGHT_507_000=0,9 m
ZKN_HEIGHT_508_000=1,2 m
ZKN_HEIGHT_509_000=0,4 m
ZKN_HEIGHT_510_000=1,1 m
ZKN_HEIGHT_511_000=0,6 m
ZKN_HEIGHT_512_000=1,1 m
ZKN_HEIGHT_513_000=0,6 m
ZKN_HEIGHT_514_000=1,0 m
ZKN_HEIGHT_515_000=0,6 m
ZKN_HEIGHT_516_000=1,0 m
ZKN_HEIGHT_517_000=0,6 m
ZKN_HEIGHT_518_000=1,1 m
ZKN_HEIGHT_519_000=0,3 m
ZKN_HEIGHT_520_000=0,6 m
ZKN_HEIGHT_521_000=1,2 m
ZKN_HEIGHT_522_000=0,8 m
ZKN_HEIGHT_523_000=1,6 m
ZKN_HEIGHT_524_000=0,4 m
ZKN_HEIGHT_525_000=0,9 m
ZKN_HEIGHT_526_000=1,7 m
ZKN_HEIGHT_527_000=0,4 m
ZKN_HEIGHT_528_000=0,9 m
ZKN_HEIGHT_529_000=0,3 m
ZKN_HEIGHT_530_000=0,7 m
ZKN_HEIGHT_531_000=1,1 m
ZKN_HEIGHT_532_000=0,6 m
ZKN_HEIGHT_533_000=1,2 m
ZKN_HEIGHT_534_000=1,4 m
ZKN_HEIGHT_535_000=0,5 m
ZKN_HEIGHT_536_000=0,8 m
ZKN_HEIGHT_537_000=1,5 m
ZKN_HEIGHT_538_000=1,3 m
ZKN_HEIGHT_539_000=1,4 m
ZKN_HEIGHT_540_000=0,3 m
ZKN_HEIGHT_541_000=0,5 m
ZKN_HEIGHT_542_000=1,2 m
ZKN_HEIGHT_543_000=0,4 m
ZKN_HEIGHT_544_000=1,2 m
ZKN_HEIGHT_545_000=2,5 m
ZKN_HEIGHT_546_000=0,3 m
ZKN_HEIGHT_547_000=0,7 m
ZKN_HEIGHT_548_000=0,5 m
ZKN_HEIGHT_549_000=1,1 m
ZKN_HEIGHT_550_000=1,0 m
ZKN_HEIGHT_551_000=0,7 m
ZKN_HEIGHT_552_000=1,0 m
ZKN_HEIGHT_553_000=1,5 m
ZKN_HEIGHT_554_000=0,6 m
ZKN_HEIGHT_555_000=1,3 m
ZKN_HEIGHT_556_000=1,0 m
ZKN_HEIGHT_557_000=0,3 m
ZKN_HEIGHT_558_000=1,4 m
ZKN_HEIGHT_559_000=0,6 m
ZKN_HEIGHT_560_000=1,1 m
ZKN_HEIGHT_561_000=1,4 m
ZKN_HEIGHT_562_000=0,5 m
ZKN_HEIGHT_563_000=1,7 m
ZKN_HEIGHT_564_000=0,7 m
ZKN_HEIGHT_565_000=1,2 m
ZKN_HEIGHT_566_000=0,5 m
ZKN_HEIGHT_567_000=1,4 m
ZKN_HEIGHT_568_000=0,6 m
ZKN_HEIGHT_569_000=1,9 m
ZKN_HEIGHT_570_000=0,7 m
ZKN_HEIGHT_571_000=1,6 m
ZKN_HEIGHT_572_000=0,4 m
ZKN_HEIGHT_573_000=0,5 m
ZKN_HEIGHT_574_000=0,4 m
ZKN_HEIGHT_575_000=0,7 m
ZKN_HEIGHT_576_000=1,5 m
ZKN_HEIGHT_577_000=0,3 m
ZKN_HEIGHT_578_000=0,6 m
ZKN_HEIGHT_579_000=1,0 m
ZKN_HEIGHT_580_000=0,5 m
ZKN_HEIGHT_581_000=1,3 m
ZKN_HEIGHT_582_000=0,4 m
ZKN_HEIGHT_583_000=1,1 m
ZKN_HEIGHT_584_000=1,3 m
ZKN_HEIGHT_585_000=0,6 m
ZKN_HEIGHT_586_000=1,9 m
ZKN_HEIGHT_587_000=0,4 m
ZKN_HEIGHT_588_000=0,5 m
ZKN_HEIGHT_589_000=1,0 m
ZKN_HEIGHT_590_000=0,2 m
ZKN_HEIGHT_591_000=0,6 m
ZKN_HEIGHT_592_000=1,2 m
ZKN_HEIGHT_593_000=2,2 m
ZKN_HEIGHT_594_000=1,2 m
ZKN_HEIGHT_595_000=0,1 m
ZKN_HEIGHT_596_000=0,8 m
ZKN_HEIGHT_597_000=0,6 m
ZKN_HEIGHT_598_000=1,0 m
ZKN_HEIGHT_599_000=0,3 m
ZKN_HEIGHT_600_000=0,6 m
ZKN_HEIGHT_601_000=0,6 m
ZKN_HEIGHT_602_000=0,2 m
ZKN_HEIGHT_603_000=1,2 m
ZKN_HEIGHT_604_000=2,1 m
ZKN_HEIGHT_605_000=0,5 m
ZKN_HEIGHT_606_000=1,0 m
ZKN_HEIGHT_607_000=0,3 m
ZKN_HEIGHT_608_000=0,6 m
ZKN_HEIGHT_609_000=1,0 m
ZKN_HEIGHT_610_000=0,6 m
ZKN_HEIGHT_611_000=1,0 m
ZKN_HEIGHT_612_000=1,8 m
ZKN_HEIGHT_613_000=0,5 m
ZKN_HEIGHT_614_000=2,6 m
ZKN_HEIGHT_615_000=1,1 m
ZKN_HEIGHT_616_000=0,4 m
ZKN_HEIGHT_617_000=0,8 m
ZKN_HEIGHT_618_000=0,7 m
ZKN_HEIGHT_619_000=0,9 m
ZKN_HEIGHT_620_000=1,4 m
ZKN_HEIGHT_621_000=1,6 m
ZKN_HEIGHT_622_000=1,0 m
ZKN_HEIGHT_623_000=2,8 m
ZKN_HEIGHT_624_000=0,5 m
ZKN_HEIGHT_625_000=1,6 m
ZKN_HEIGHT_626_000=1,6 m
ZKN_HEIGHT_627_000=0,5 m
ZKN_HEIGHT_628_000=1,5 m
ZKN_HEIGHT_629_000=0,5 m
ZKN_HEIGHT_630_000=1,2 m
ZKN_HEIGHT_631_000=1,4 m
ZKN_HEIGHT_632_000=0,3 m
ZKN_HEIGHT_633_000=0,8 m
ZKN_HEIGHT_634_000=1,4 m
