ATKMSG_M_000=!
ATKMSG_Y_000=!
ATKMSG_E_000=!
ATKMSG_N_000=!
ATKMSG_M_001={0x0101,0x0000} setzt[0x000A]Pfund ein!
ATKMSG_Y_068={0x0101,0x0000} (wild) setzt[0x000A]Konter ein!
ATKMSG_E_068={0x0101,0x0000} (Gegner) setzt[0x000A]Konter ein!
ATKMSG_N_068={0x0101,0x0000} (Herrscher) setzt[0x000A]Konter ein!
ATKMSG_M_069={0x0101,0x0000} setzt[0x000A]Geowurf ein!
ATKMSG_Y_069={0x0101,0x0000} (wild) setzt[0x000A]Geowurf ein!
ATKMSG_E_069={0x0101,0x0000} (Gegner) setzt[0x000A]Geowurf ein!
ATKMSG_N_069={0x0101,0x0000} (Herrscher) setzt[0x000A]Geowurf ein!
ATKMSG_M_070={0x0101,0x0000} setzt[0x000A]Stärke ein!
ATKMSG_Y_070={0x0101,0x0000} (wild) setzt[0x000A]Stärke ein!
ATKMSG_E_070={0x0101,0x0000} (Gegner) setzt[0x000A]Stärke ein!
ATKMSG_N_070={0x0101,0x0000} (Herrscher) setzt[0x000A]Stärke ein!
ATKMSG_M_071={0x0101,0x0000} setzt[0x000A]Absorber ein!
ATKMSG_Y_071={0x0101,0x0000} (wild) setzt[0x000A]Absorber ein!
ATKMSG_E_071={0x0101,0x0000} (Gegner) setzt[0x000A]Absorber ein!
ATKMSG_N_071={0x0101,0x0000} (Herrscher) setzt[0x000A]Absorber ein!
ATKMSG_M_072={0x0101,0x0000} setzt[0x000A]Megasauger ein!
ATKMSG_Y_072={0x0101,0x0000} (wild) setzt[0x000A]Megasauger ein!
ATKMSG_E_072={0x0101,0x0000} (Gegner) setzt[0x000A]Megasauger ein!
ATKMSG_N_072={0x0101,0x0000} (Herrscher) setzt[0x000A]Megasauger ein!
ATKMSG_M_073={0x0101,0x0000} setzt[0x000A]Egelsamen ein!
ATKMSG_Y_073={0x0101,0x0000} (wild) setzt[0x000A]Egelsamen ein!
ATKMSG_E_073={0x0101,0x0000} (Gegner) setzt[0x000A]Egelsamen ein!
ATKMSG_N_073={0x0101,0x0000} (Herrscher) setzt[0x000A]Egelsamen ein!
ATKMSG_M_074={0x0101,0x0000} setzt[0x000A]Wachstum ein!
ATKMSG_Y_074={0x0101,0x0000} (wild) setzt[0x000A]Wachstum ein!
ATKMSG_E_074={0x0101,0x0000} (Gegner) setzt[0x000A]Wachstum ein!
ATKMSG_N_074={0x0101,0x0000} (Herrscher) setzt[0x000A]Wachstum ein!
ATKMSG_M_075={0x0101,0x0000} setzt[0x000A]Rasierblatt ein!
ATKMSG_Y_075={0x0101,0x0000} (wild) setzt[0x000A]Rasierblatt ein!
ATKMSG_E_075={0x0101,0x0000} (Gegner) setzt[0x000A]Rasierblatt ein!
ATKMSG_N_075={0x0101,0x0000} (Herrscher) setzt[0x000A]Rasierblatt ein!
ATKMSG_M_076={0x0101,0x0000} setzt[0x000A]Solarstrahl ein!
ATKMSG_Y_076={0x0101,0x0000} (wild) setzt[0x000A]Solarstrahl ein!
ATKMSG_E_076={0x0101,0x0000} (Gegner) setzt[0x000A]Solarstrahl ein!
ATKMSG_N_076={0x0101,0x0000} (Herrscher) setzt[0x000A]Solarstrahl ein!
ATKMSG_M_077={0x0101,0x0000} setzt[0x000A]Giftpuder ein!
ATKMSG_Y_077={0x0101,0x0000} (wild) setzt[0x000A]Giftpuder ein!
ATKMSG_E_077={0x0101,0x0000} (Gegner) setzt[0x000A]Giftpuder ein!
ATKMSG_N_077={0x0101,0x0000} (Herrscher) setzt[0x000A]Giftpuder ein!
ATKMSG_M_078={0x0101,0x0000} setzt[0x000A]Stachelspore ein!
ATKMSG_Y_078={0x0101,0x0000} (wild) setzt[0x000A]Stachelspore ein!
ATKMSG_E_078={0x0101,0x0000} (Gegner) setzt[0x000A]Stachelspore ein!
ATKMSG_N_078={0x0101,0x0000} (Herrscher) setzt[0x000A]Stachelspore ein!
ATKMSG_M_079={0x0101,0x0000} setzt[0x000A]Schlafpuder ein!
ATKMSG_Y_079={0x0101,0x0000} (wild) setzt[0x000A]Schlafpuder ein!
