ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_N_006={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zahltag ein!
ATKMSG_Z_M_007={0x0101,0x0000} setzt[0x000A]Z-Feuerschlag ein!
ATKMSG_Z_Y_007={0x0101,0x0000} (wild) setzt[0x000A]Z-Feuerschlag ein!
ATKMSG_Z_E_007={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feuerschlag ein!
ATKMSG_Z_N_007={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feuerschlag ein!
ATKMSG_Z_M_008={0x0101,0x0000} setzt[0x000A]Z-Eishieb ein!
ATKMSG_Z_Y_008={0x0101,0x0000} (wild) setzt[0x000A]Z-Eishieb ein!
ATKMSG_Z_E_008={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eishieb ein!
ATKMSG_Z_N_008={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eishieb ein!
ATKMSG_Z_M_009={0x0101,0x0000} setzt[0x000A]Z-Donnerschlag ein!
ATKMSG_Z_Y_009={0x0101,0x0000} (wild) setzt[0x000A]Z-Donnerschlag ein!
ATKMSG_Z_E_009={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Donnerschlag ein!
ATKMSG_Z_N_009={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Donnerschlag ein!
ATKMSG_Z_M_010={0x0101,0x0000} setzt[0x000A]Z-Kratzer ein!
ATKMSG_Z_Y_010={0x0101,0x0000} (wild) setzt[0x000A]Z-Kratzer ein!
ATKMSG_Z_E_010={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kratzer ein!
ATKMSG_Z_N_010={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kratzer ein!
ATKMSG_Z_M_011={0x0101,0x0000} setzt[0x000A]Z-Klammer ein!
ATKMSG_Z_Y_011={0x0101,0x0000} (wild) setzt[0x000A]Z-Klammer ein!
ATKMSG_Z_E_011={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Klammer ein!
ATKMSG_Z_N_011={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Klammer ein!
ATKMSG_Z_M_012={0x0101,0x0000} setzt[0x000A]Z-Guillotine ein!
ATKMSG_Z_Y_012={0x0101,0x0000} (wild) setzt[0x000A]Z-Guillotine ein!
ATKMSG_Z_E_012={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Guillotine ein!
ATKMSG_Z_N_012={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Guillotine ein!
ATKMSG_Z_M_013={0x0101,0x0000} setzt[0x000A]Z-Klingensturm ein!
ATKMSG_Z_Y_013={0x0101,0x0000} (wild) setzt[0x000A]Z-Klingensturm ein!
ATKMSG_Z_E_013={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Klingensturm ein!
ATKMSG_Z_N_013={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Klingensturm ein!
ATKMSG_Z_M_014={0x0101,0x0000} setzt[0x000A]Z-Schwerttanz ein!
ATKMSG_Z_Y_014={0x0101,0x0000} (wild) setzt[0x000A]Z-Schwerttanz ein!
ATKMSG_Z_E_014={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schwerttanz ein!
ATKMSG_Z_N_014={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schwerttanz ein!
ATKMSG_Z_M_015={0x0101,0x0000} setzt[0x000A]Z-Zerschneider ein!
ATKMSG_Z_Y_015={0x0101,0x0000} (wild) setzt[0x000A]Z-Zerschneider ein!
ATKMSG_Z_E_015={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zerschneider ein!
ATKMSG_Z_N_015={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zerschneider ein!
ATKMSG_Z_M_016={0x0101,0x0000} setzt[0x000A]Z-Windstoß ein!
ATKMSG_Z_Y_016={0x0101,0x0000} (wild) setzt[0x000A]Z-Windstoß ein!
ATKMSG_Z_E_016={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Windstoß ein!
ATKMSG_Z_N_016={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Windstoß ein!
ATKMSG_Z_M_017={0x0101,0x0000} setzt[0x000A]Z-Flügelschlag ein!
ATKMSG_Z_Y_017={0x0101,0x0000} (wild) setzt[0x000A]Z-Flügelschlag ein!
ATKMSG_Z_E_017={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Flügelschlag ein!
ATKMSG_Z_N_017={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Flügelschlag ein!
ATKMSG_Z_M_018={0x0101,0x0000} setzt[0x000A]Z-Wirbelwind ein!
ATKMSG_Z_Y_018={0x0101,0x0000} (wild) setzt[0x000A]Z-Wirbelwind ein!
ATKMSG_Z_E_018={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wirbelwind ein!
ATKMSG_Z_N_018={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wirbelwind ein!
ATKMSG_Z_M_019={0x0101,0x0000} setzt[0x000A]Z-Fliegen ein!
ATKMSG_Z_Y_019={0x0101,0x0000} (wild) setzt[0x000A]Z-Fliegen ein!
ATKMSG_Z_E_019={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fliegen ein!
ATKMSG_Z_N_019={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fliegen ein!
ATKMSG_Z_M_020={0x0101,0x0000} setzt[0x000A]Z-Klammergriff ein!
ATKMSG_Z_Y_020={0x0101,0x0000} (wild) setzt[0x000A]Z-Klammergriff ein!
ATKMSG_Z_E_020={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Klammergriff ein!
ATKMSG_Z_N_020={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Klammergriff ein!
ATKMSG_Z_M_021={0x0101,0x0000} setzt[0x000A]Z-Slam ein!
ATKMSG_Z_Y_021={0x0101,0x0000} (wild) setzt[0x000A]Z-Slam ein!
ATKMSG_Z_E_021={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Slam ein!
ATKMSG_Z_N_021={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Slam ein!
ATKMSG_Z_M_022={0x0101,0x0000} setzt[0x000A]Z-Rankenhieb ein!
ATKMSG_Z_Y_022={0x0101,0x0000} (wild) setzt[0x000A]Z-Rankenhieb ein!
ATKMSG_Z_E_022={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rankenhieb ein!
ATKMSG_Z_N_022={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rankenhieb ein!
ATKMSG_Z_M_023={0x0101,0x0000} setzt[0x000A]Z-Stampfer ein!
ATKMSG_Z_Y_023={0x0101,0x0000} (wild) setzt[0x000A]Z-Stampfer ein!
ATKMSG_Z_E_023={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Stampfer ein!
ATKMSG_Z_N_023={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Stampfer ein!
ATKMSG_Z_M_024={0x0101,0x0000} setzt[0x000A]Z-Doppelkick ein!
ATKMSG_Z_Y_024={0x0101,0x0000} (wild) setzt[0x000A]Z-Doppelkick ein!
ATKMSG_Z_E_024={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Doppelkick ein!
ATKMSG_Z_N_024={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Doppelkick ein!
ATKMSG_Z_M_025={0x0101,0x0000} setzt[0x000A]Z-Megakick ein!
ATKMSG_Z_Y_025={0x0101,0x0000} (wild) setzt[0x000A]Z-Megakick ein!
ATKMSG_Z_E_025={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Megakick ein!
ATKMSG_Z_N_025={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Megakick ein!
ATKMSG_Z_M_026={0x0101,0x0000} setzt[0x000A]Z-Sprungkick ein!
ATKMSG_Z_Y_026={0x0101,0x0000} (wild) setzt[0x000A]Z-Sprungkick ein!
ATKMSG_Z_E_026={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sprungkick ein!
ATKMSG_Z_N_026={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sprungkick ein!
ATKMSG_Z_M_027={0x0101,0x0000} setzt[0x000A]Z-Fegekick ein!
ATKMSG_Z_Y_027={0x0101,0x0000} (wild) setzt[0x000A]Z-Fegekick ein!
ATKMSG_Z_E_027={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fegekick ein!
ATKMSG_Z_N_027={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fegekick ein!
ATKMSG_Z_M_028={0x0101,0x0000} setzt[0x000A]Z-Sandwirbel ein!
ATKMSG_Z_Y_028={0x0101,0x0000} (wild) setzt[0x000A]Z-Sandwirbel ein!
ATKMSG_Z_E_028={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sandwirbel ein!
ATKMSG_Z_N_028={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sandwirbel ein!
ATKMSG_Z_M_029={0x0101,0x0000} setzt[0x000A]Z-Kopfnuss ein!
ATKMSG_Z_Y_029={0x0101,0x0000} (wild) setzt[0x000A]Z-Kopfnuss ein!
ATKMSG_Z_E_029={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kopfnuss ein!
ATKMSG_Z_N_029={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kopfnuss ein!
ATKMSG_Z_M_030={0x0101,0x0000} setzt[0x000A]Z-Hornattacke ein!
ATKMSG_Z_Y_030={0x0101,0x0000} (wild) setzt[0x000A]Z-Hornattacke ein!
ATKMSG_Z_E_030={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hornattacke ein!
ATKMSG_Z_N_030={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hornattacke ein!
ATKMSG_Z_M_031={0x0101,0x0000} setzt[0x000A]Z-Furienschlag ein!
ATKMSG_Z_Y_031={0x0101,0x0000} (wild) setzt[0x000A]Z-Furienschlag ein!
ATKMSG_Z_E_031={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Furienschlag ein!
ATKMSG_Z_N_031={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Furienschlag ein!
ATKMSG_Z_M_032={0x0101,0x0000} setzt[0x000A]Z-Hornbohrer ein!
ATKMSG_Z_Y_032={0x0101,0x0000} (wild) setzt[0x000A]Z-Hornbohrer ein!
ATKMSG_Z_E_032={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hornbohrer ein!
ATKMSG_Z_N_032={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hornbohrer ein!
ATKMSG_Z_M_033={0x0101,0x0000} setzt[0x000A]Z-Tackle ein!
ATKMSG_Z_Y_033={0x0101,0x0000} (wild) setzt[0x000A]Z-Tackle ein!
ATKMSG_Z_E_033={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Tackle ein!
ATKMSG_Z_N_033={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Tackle ein!
ATKMSG_Z_M_034={0x0101,0x0000} setzt[0x000A]Z-Bodyslam ein!
ATKMSG_Z_Y_034={0x0101,0x0000} (wild) setzt[0x000A]Z-Bodyslam ein!
ATKMSG_Z_E_034={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Bodyslam ein!
ATKMSG_Z_N_034={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Bodyslam ein!
ATKMSG_Z_M_035={0x0101,0x0000} setzt[0x000A]Z-Wickel ein!
ATKMSG_Z_Y_035={0x0101,0x0000} (wild) setzt[0x000A]Z-Wickel ein!
ATKMSG_Z_E_035={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wickel ein!
ATKMSG_Z_N_035={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wickel ein!
ATKMSG_Z_M_036={0x0101,0x0000} setzt[0x000A]Z-Bodycheck ein!
ATKMSG_Z_Y_036={0x0101,0x0000} (wild) setzt[0x000A]Z-Bodycheck ein!
ATKMSG_Z_E_036={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Bodycheck ein!
ATKMSG_Z_N_036={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Bodycheck ein!
ATKMSG_Z_M_037={0x0101,0x0000} setzt[0x000A]Z-Fuchtler ein!
ATKMSG_Z_Y_037={0x0101,0x0000} (wild) setzt[0x000A]Z-Fuchtler ein!
ATKMSG_Z_E_037={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fuchtler ein!
ATKMSG_Z_N_037={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fuchtler ein!
ATKMSG_Z_M_038={0x0101,0x0000} setzt[0x000A]Z-Risikotackle ein!
ATKMSG_Z_Y_038={0x0101,0x0000} (wild) setzt[0x000A]Z-Risikotackle ein!
ATKMSG_Z_E_038={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Risikotackle ein!
ATKMSG_Z_N_038={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Risikotackle ein!
ATKMSG_Z_M_039={0x0101,0x0000} setzt[0x000A]Z-Rutenschlag ein!
ATKMSG_Z_Y_039={0x0101,0x0000} (wild) setzt[0x000A]Z-Rutenschlag ein!
ATKMSG_Z_E_039={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rutenschlag ein!
ATKMSG_Z_N_039={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rutenschlag ein!
ATKMSG_Z_M_040={0x0101,0x0000} setzt[0x000A]Z-Giftstachel ein!
ATKMSG_Z_Y_040={0x0101,0x0000} (wild) setzt[0x000A]Z-Giftstachel ein!
ATKMSG_Z_E_040={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Giftstachel ein!
ATKMSG_Z_N_040={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Giftstachel ein!
ATKMSG_Z_M_041={0x0101,0x0000} setzt[0x000A]Z-Duonadel ein!
ATKMSG_Z_Y_041={0x0101,0x0000} (wild) setzt[0x000A]Z-Duonadel ein!
ATKMSG_Z_E_041={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Duonadel ein!
ATKMSG_Z_N_041={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Duonadel ein!
ATKMSG_Z_M_042={0x0101,0x0000} setzt[0x000A]Z-Nadelrakete ein!
ATKMSG_Z_Y_042={0x0101,0x0000} (wild) setzt[0x000A]Z-Nadelrakete ein!
ATKMSG_Z_E_042={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Nadelrakete ein!
ATKMSG_Z_N_042={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Nadelrakete ein!
ATKMSG_Z_M_043={0x0101,0x0000} setzt[0x000A]Z-Silberblick ein!
ATKMSG_Z_Y_043={0x0101,0x0000} (wild) setzt[0x000A]Z-Silberblick ein!
ATKMSG_Z_E_043={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Silberblick ein!
ATKMSG_Z_N_043={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Silberblick ein!
ATKMSG_Z_M_044={0x0101,0x0000} setzt[0x000A]Z-Biss ein!
ATKMSG_Z_Y_044={0x0101,0x0000} (wild) setzt[0x000A]Z-Biss ein!
ATKMSG_Z_E_044={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Biss ein!
ATKMSG_Z_N_044={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Biss ein!
ATKMSG_Z_M_045={0x0101,0x0000} setzt[0x000A]Z-Heuler ein!
ATKMSG_Z_Y_045={0x0101,0x0000} (wild) setzt[0x000A]Z-Heuler ein!
ATKMSG_Z_E_045={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Heuler ein!
ATKMSG_Z_N_045={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Heuler ein!
ATKMSG_Z_M_046={0x0101,0x0000} setzt[0x000A]Z-Brüller ein!
ATKMSG_Z_Y_046={0x0101,0x0000} (wild) setzt[0x000A]Z-Brüller ein!
ATKMSG_Z_E_046={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Brüller ein!
ATKMSG_Z_N_046={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Brüller ein!
ATKMSG_Z_M_047={0x0101,0x0000} setzt[0x000A]Z-Gesang ein!
ATKMSG_Z_Y_047={0x0101,0x0000} (wild) setzt[0x000A]Z-Gesang ein!
ATKMSG_Z_E_047={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Gesang ein!
ATKMSG_Z_N_047={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Gesang ein!
ATKMSG_Z_M_048={0x0101,0x0000} setzt[0x000A]Z-Superschall ein!
ATKMSG_Z_Y_048={0x0101,0x0000} (wild) setzt[0x000A]Z-Superschall ein!
ATKMSG_Z_E_048={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Superschall ein!
ATKMSG_Z_N_048={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Superschall ein!
ATKMSG_Z_M_049={0x0101,0x0000} setzt[0x000A]Z-Ultraschall ein!
ATKMSG_Z_Y_049={0x0101,0x0000} (wild) setzt[0x000A]Z-Ultraschall ein!
ATKMSG_Z_E_049={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ultraschall ein!
ATKMSG_Z_N_049={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ultraschall ein!
ATKMSG_Z_M_050={0x0101,0x0000} setzt[0x000A]Z-Aussetzer ein!
ATKMSG_Z_Y_050={0x0101,0x0000} (wild) setzt[0x000A]Z-Aussetzer ein!
ATKMSG_Z_E_050={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aussetzer ein!
ATKMSG_Z_N_050={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aussetzer ein!
ATKMSG_Z_M_051={0x0101,0x0000} setzt[0x000A]Z-Säure ein!
ATKMSG_Z_Y_051={0x0101,0x0000} (wild) setzt[0x000A]Z-Säure ein!
ATKMSG_Z_E_051={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Säure ein!
ATKMSG_Z_N_051={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Säure ein!
ATKMSG_Z_M_052={0x0101,0x0000} setzt[0x000A]Z-Glut ein!
ATKMSG_Z_Y_052={0x0101,0x0000} (wild) setzt[0x000A]Z-Glut ein!
ATKMSG_Z_E_052={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Glut ein!
ATKMSG_Z_N_052={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Glut ein!
ATKMSG_Z_M_053={0x0101,0x0000} setzt[0x000A]Z-Flammenwurf ein!
ATKMSG_Z_Y_053={0x0101,0x0000} (wild) setzt[0x000A]Z-Flammenwurf ein!
ATKMSG_Z_E_053={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Flammenwurf ein!
ATKMSG_Z_N_053={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Flammenwurf ein!
ATKMSG_Z_M_054={0x0101,0x0000} setzt[0x000A]Z-Weißnebel ein!
ATKMSG_Z_Y_054={0x0101,0x0000} (wild) setzt[0x000A]Z-Weißnebel ein!
ATKMSG_Z_E_054={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Weißnebel ein!
ATKMSG_Z_N_054={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Weißnebel ein!
ATKMSG_Z_M_055={0x0101,0x0000} setzt[0x000A]Z-Aquaknarre ein!
ATKMSG_Z_Y_055={0x0101,0x0000} (wild) setzt[0x000A]Z-Aquaknarre ein!
ATKMSG_Z_E_055={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aquaknarre ein!
ATKMSG_Z_N_055={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aquaknarre ein!
ATKMSG_Z_M_056={0x0101,0x0000} setzt[0x000A]Z-Hydropumpe ein!
ATKMSG_Z_Y_056={0x0101,0x0000} (wild) setzt[0x000A]Z-Hydropumpe ein!
ATKMSG_Z_E_056={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hydropumpe ein!
ATKMSG_Z_N_056={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hydropumpe ein!
ATKMSG_Z_M_057={0x0101,0x0000} setzt[0x000A]Z-Surfer ein!
ATKMSG_Z_Y_057={0x0101,0x0000} (wild) setzt[0x000A]Z-Surfer ein!
ATKMSG_Z_E_057={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Surfer ein!
ATKMSG_Z_N_057={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Surfer ein!
ATKMSG_Z_M_058={0x0101,0x0000} setzt[0x000A]Z-Eisstrahl ein!
ATKMSG_Z_Y_058={0x0101,0x0000} (wild) setzt[0x000A]Z-Eisstrahl ein!
ATKMSG_Z_E_058={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eisstrahl ein!
ATKMSG_Z_N_058={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eisstrahl ein!
ATKMSG_Z_M_059={0x0101,0x0000} setzt[0x000A]Z-Blizzard ein!
ATKMSG_Z_Y_059={0x0101,0x0000} (wild) setzt[0x000A]Z-Blizzard ein!
ATKMSG_Z_E_059={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blizzard ein!
ATKMSG_Z_N_059={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blizzard ein!
ATKMSG_Z_M_060={0x0101,0x0000} setzt[0x000A]Z-Psystrahl ein!
ATKMSG_Z_Y_060={0x0101,0x0000} (wild) setzt[0x000A]Z-Psystrahl ein!
ATKMSG_Z_E_060={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Psystrahl ein!
ATKMSG_Z_N_060={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Psystrahl ein!
ATKMSG_Z_M_061={0x0101,0x0000} setzt[0x000A]Z-Blubbstrahl ein!
ATKMSG_Z_Y_061={0x0101,0x0000} (wild) setzt[0x000A]Z-Blubbstrahl ein!
ATKMSG_Z_E_061={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blubbstrahl ein!
ATKMSG_Z_N_061={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blubbstrahl ein!
ATKMSG_Z_M_062={0x0101,0x0000} setzt[0x000A]Z-Aurorastrahl ein!
ATKMSG_Z_Y_062={0x0101,0x0000} (wild) setzt[0x000A]Z-Aurorastrahl ein!
ATKMSG_Z_E_062={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aurorastrahl ein!
ATKMSG_Z_N_062={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aurorastrahl ein!
ATKMSG_Z_M_063={0x0101,0x0000} setzt[0x000A]Z-Hyperstrahl ein!
ATKMSG_Z_Y_063={0x0101,0x0000} (wild) setzt[0x000A]Z-Hyperstrahl ein!
ATKMSG_Z_E_063={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hyperstrahl ein!
ATKMSG_Z_N_063={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hyperstrahl ein!
ATKMSG_Z_M_064={0x0101,0x0000} setzt[0x000A]Z-Schnabel ein!
ATKMSG_Z_Y_064={0x0101,0x0000} (wild) setzt[0x000A]Z-Schnabel ein!
ATKMSG_Z_E_064={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schnabel ein!
ATKMSG_Z_N_064={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schnabel ein!
ATKMSG_Z_M_065={0x0101,0x0000} setzt[0x000A]Z-Bohrschnabel ein!
ATKMSG_Z_Y_065={0x0101,0x0000} (wild) setzt[0x000A]Z-Bohrschnabel ein!
ATKMSG_Z_E_065={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Bohrschnabel ein!
ATKMSG_Z_N_065={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Bohrschnabel ein!
ATKMSG_Z_M_066={0x0101,0x0000} setzt[0x000A]Z-Überroller ein!
ATKMSG_Z_Y_066={0x0101,0x0000} (wild) setzt[0x000A]Z-Überroller ein!
ATKMSG_Z_E_066={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Überroller ein!
ATKMSG_Z_N_066={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Überroller ein!
ATKMSG_Z_M_067={0x0101,0x0000} setzt[0x000A]Z-Fußkick ein!
ATKMSG_Z_Y_067={0x0101,0x0000} (wild) setzt[0x000A]Z-Fußkick ein!
ATKMSG_Z_E_067={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Fußkick ein!
ATKMSG_Z_N_067={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Fußkick ein!
ATKMSG_Z_M_068={0x0101,0x0000} setzt[0x000A]Z-Konter ein!
ATKMSG_Z_Y_068={0x0101,0x0000} (wild) setzt[0x000A]Z-Konter ein!
ATKMSG_Z_E_068={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Konter ein!
ATKMSG_Z_N_068={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Konter ein!
ATKMSG_Z_M_069={0x0101,0x0000} setzt[0x000A]Z-Geowurf ein!
ATKMSG_Z_Y_069={0x0101,0x0000} (wild) setzt[0x000A]Z-Geowurf ein!
ATKMSG_Z_E_069={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geowurf ein!
